#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,05/17/2023 13:25:03,,Logged,Logged,,
2,05/17/2023 13:25:54,,,,Logged,
3,05/17/2023 13:27:00,,Logged,Logged,,
4,05/17/2023 13:27:03,,,,Logged,
5,05/17/2023 13:27:37,,,,Logged,
6,05/18/2023 14:25:10,,Logged,,,
7,05/18/2023 14:25:12,,,Logged,,
8,05/23/2023 01:00:00,10.079,,,,
9,05/23/2023 01:15:00,10.090,,,,
10,05/23/2023 01:30:00,10.100,,,,
11,05/23/2023 01:45:00,10.100,,,,
12,05/23/2023 02:00:00,10.100,,,,
13,05/23/2023 02:15:00,10.100,,,,
14,05/23/2023 02:30:00,10.100,,,,
15,05/23/2023 02:45:00,10.100,,,,
16,05/23/2023 03:00:00,10.100,,,,
17,05/23/2023 03:15:00,10.100,,,,
18,05/23/2023 03:30:00,10.100,,,,
19,05/23/2023 03:45:00,10.100,,,,
20,05/23/2023 04:00:00,10.090,,,,
21,05/23/2023 04:15:00,10.068,,,,
22,05/23/2023 04:30:00,10.068,,,,
23,05/23/2023 04:45:00,10.057,,,,
24,05/23/2023 05:00:00,10.036,,,,
25,05/23/2023 05:15:00,10.025,,,,
26,05/23/2023 05:30:00,10.014,,,,
27,05/23/2023 05:45:00,9.993,,,,
28,05/23/2023 06:00:00,9.982,,,,
29,05/23/2023 06:15:00,9.961,,,,
30,05/23/2023 06:30:00,9.961,,,,
31,05/23/2023 06:45:00,9.961,,,,
32,05/23/2023 07:00:00,9.961,,,,
33,05/23/2023 07:15:00,9.972,,,,
34,05/23/2023 07:30:00,10.036,,,,
35,05/23/2023 07:45:00,10.025,,,,
36,05/23/2023 08:00:00,10.025,,,,
37,05/23/2023 08:15:00,10.014,,,,
38,05/23/2023 08:30:00,10.004,,,,
39,05/23/2023 08:45:00,9.993,,,,
40,05/23/2023 09:00:00,9.982,,,,
41,05/23/2023 09:15:00,9.993,,,,
42,05/23/2023 09:30:00,10.014,,,,
43,05/23/2023 09:45:00,10.036,,,,
44,05/23/2023 10:00:00,10.079,,,,
45,05/23/2023 10:15:00,10.047,,,,
