Site Name ,ODYLIGHT-4595
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4595


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,23/05/2023 , 01:15:00,0,0
2,23/05/2023 , 01:30:00,0,0
3,23/05/2023 , 01:45:00,0,0
4,23/05/2023 , 02:00:00,0,0
5,23/05/2023 , 02:15:00,0,0
6,23/05/2023 , 02:30:00,0,0
7,23/05/2023 , 02:45:00,0,0
8,23/05/2023 , 03:00:00,0,0
9,23/05/2023 , 03:15:00,0,0
10,23/05/2023 , 03:30:00,0,0
11,23/05/2023 , 03:45:00,0,0
12,23/05/2023 , 04:00:00,0,0
13,23/05/2023 , 04:15:00,0,0
14,23/05/2023 , 04:30:00,0,0
15,23/05/2023 , 04:45:00,0,0
16,23/05/2023 , 05:00:00,0,0
17,23/05/2023 , 05:15:00,0,0
18,23/05/2023 , 05:30:00,3,3
19,23/05/2023 , 05:45:00,6,6
20,23/05/2023 , 06:00:00,14,14
21,23/05/2023 , 06:15:00,24,24
22,23/05/2023 , 06:30:00,36,36
23,23/05/2023 , 06:45:00,62,62
24,23/05/2023 , 07:00:00,87,87
25,23/05/2023 , 07:15:00,144,144
26,23/05/2023 , 07:30:00,160,160
27,23/05/2023 , 07:45:00,186,186
28,23/05/2023 , 08:00:00,226,226
29,23/05/2023 , 08:15:00,342,342
30,23/05/2023 , 08:30:00,375,375
31,23/05/2023 , 08:45:00,490,490
32,23/05/2023 , 09:00:00,593,593
33,23/05/2023 , 09:15:00,799,799
34,23/05/2023 , 09:30:00,1206,1206
35,23/05/2023 , 09:45:00,1225,1225
36,23/05/2023 , 10:00:00,1404,1404
37,23/05/2023 , 10:15:00,1207,1207
38,23/05/2023 , 10:30:00,1525,1525
39,23/05/2023 , 10:45:00,2085,2085
40,23/05/2023 , 11:00:00,1794,1794
41,23/05/2023 , 11:15:00,1683,1683
42,23/05/2023 , 11:30:00,2119,2119
43,23/05/2023 , 11:45:00,1841,1841
44,23/05/2023 , 12:00:00,3134,3134
45,23/05/2023 , 12:15:00,3451,3451
46,23/05/2023 , 12:30:00,3407,3407
47,23/05/2023 , 12:45:00,3889,3889
48,23/05/2023 , 13:00:00,4213,4213
49,23/05/2023 , 13:15:00,2599,2599
50,23/05/2023 , 13:30:00,590,590
51,23/05/2023 , 13:45:00,342,342
52,23/05/2023 , 14:00:00,344,344
53,23/05/2023 , 14:15:00,624,624
54,23/05/2023 , 14:30:00,793,793
55,23/05/2023 , 14:45:00,875,875
56,23/05/2023 , 15:00:00,534,534
57,23/05/2023 , 15:15:00,391,391
58,23/05/2023 , 15:30:00,357,357
59,23/05/2023 , 15:45:00,973,973
60,23/05/2023 , 16:00:00,1249,1249
61,23/05/2023 , 16:15:00,1248,1248
62,23/05/2023 , 16:30:00,987,987
63,23/05/2023 , 16:45:00,702,702
64,23/05/2023 , 17:00:00,616,616
65,23/05/2023 , 17:15:00,490,490
66,23/05/2023 , 17:30:00,440,440
67,23/05/2023 , 17:45:00,493,493
68,23/05/2023 , 18:00:00,442,442
69,23/05/2023 , 18:15:00,479,479
70,23/05/2023 , 18:30:00,551,551
71,23/05/2023 , 18:45:00,593,593
72,23/05/2023 , 19:00:00,406,406
73,23/05/2023 , 19:15:00,273,273
74,23/05/2023 , 19:30:00,138,138
75,23/05/2023 , 19:45:00,78,78
76,23/05/2023 , 20:00:00,61,61
77,23/05/2023 , 20:15:00,76,76
78,23/05/2023 , 20:30:00,30,30
79,23/05/2023 , 20:45:00,11,11
80,23/05/2023 , 21:00:00,3,3
81,23/05/2023 , 21:15:00,2,2
82,23/05/2023 , 21:30:00,0,0
83,23/05/2023 , 21:45:00,0,0
84,23/05/2023 , 22:00:00,0,0
85,23/05/2023 , 22:15:00,0,0
86,23/05/2023 , 22:30:00,0,0
87,23/05/2023 , 22:45:00,0,0
88,23/05/2023 , 23:00:00,0,0
89,23/05/2023 , 23:15:00,0,0
90,23/05/2023 , 23:30:00,0,0
91,23/05/2023 , 23:45:00,0,0
92,23/05/2023 , 24:00:00,0,0
93,24/05/2023 , 00:15:00,0,0
94,24/05/2023 , 00:30:00,0,0
95,24/05/2023 , 00:45:00,0,0
96,24/05/2023 , 01:00:00,0,0
97,24/05/2023 , 01:15:00,0,0
98,24/05/2023 , 01:30:00,0,0
99,24/05/2023 , 01:45:00,0,0
100,24/05/2023 , 02:00:00,0,0
101,24/05/2023 , 02:15:00,0,0
102,24/05/2023 , 02:30:00,0,0
103,24/05/2023 , 02:45:00,0,0
104,24/05/2023 , 03:00:00,0,0
105,24/05/2023 , 03:15:00,0,0
106,24/05/2023 , 03:30:00,0,0
107,24/05/2023 , 03:45:00,0,0
108,24/05/2023 , 04:00:00,0,0
109,24/05/2023 , 04:15:00,0,0
110,24/05/2023 , 04:30:00,0,0
