Site Name ,ODYTEST4594
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4594


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

145,24/05/2023 , 13:15:00,3779,3779
146,24/05/2023 , 13:30:00,4684,4684
147,24/05/2023 , 13:45:00,5487,5487
148,24/05/2023 , 14:00:00,4796,4796
149,24/05/2023 , 14:15:00,5705,5705
150,24/05/2023 , 14:30:00,5919,5919
151,24/05/2023 , 14:45:00,5803,5803
152,24/05/2023 , 15:00:00,4132,4132
153,24/05/2023 , 15:15:00,4108,4108
154,24/05/2023 , 15:30:00,4525,4525
155,24/05/2023 , 15:45:00,4389,4389
156,24/05/2023 , 16:00:00,4045,4045
157,24/05/2023 , 16:15:00,3489,3489
158,24/05/2023 , 16:30:00,3066,3066
159,24/05/2023 , 16:45:00,2751,2751
160,24/05/2023 , 17:00:00,2568,2568
161,24/05/2023 , 17:15:00,2188,2188
162,24/05/2023 , 17:30:00,1838,1838
163,24/05/2023 , 17:45:00,1456,1456
164,24/05/2023 , 18:00:00,1134,1134
165,24/05/2023 , 18:15:00,902,902
166,24/05/2023 , 18:30:00,788,788
167,24/05/2023 , 18:45:00,583,583
168,24/05/2023 , 19:00:00,511,511
169,24/05/2023 , 19:15:00,418,418
170,24/05/2023 , 19:30:00,285,285
171,24/05/2023 , 19:45:00,175,175
172,24/05/2023 , 20:00:00,87,87
173,24/05/2023 , 20:15:00,78,78
174,24/05/2023 , 20:30:00,56,56
175,24/05/2023 , 20:45:00,44,44
176,24/05/2023 , 21:00:00,14,14
177,24/05/2023 , 21:15:00,2,2
178,24/05/2023 , 21:30:00,0,0
179,24/05/2023 , 21:45:00,0,0
180,24/05/2023 , 22:00:00,0,0
181,24/05/2023 , 22:15:00,0,0
182,24/05/2023 , 22:30:00,0,0
183,24/05/2023 , 22:45:00,0,0
184,24/05/2023 , 23:00:00,0,0
185,24/05/2023 , 23:15:00,0,0
186,24/05/2023 , 23:30:00,0,0
187,24/05/2023 , 23:45:00,0,0
188,24/05/2023 , 24:00:00,0,0
189,25/05/2023 , 00:15:00,0,0
190,25/05/2023 , 00:30:00,0,0
191,25/05/2023 , 00:45:00,0,0
192,25/05/2023 , 01:00:00,0,0
193,25/05/2023 , 01:15:00,0,0
194,25/05/2023 , 01:30:00,0,0
195,25/05/2023 , 01:45:00,0,0
196,25/05/2023 , 02:00:00,0,0
197,25/05/2023 , 02:15:00,0,0
198,25/05/2023 , 02:30:00,0,0
199,25/05/2023 , 02:45:00,0,0
200,25/05/2023 , 03:00:00,0,0
201,25/05/2023 , 03:15:00,0,0
202,25/05/2023 , 03:30:00,0,0
203,25/05/2023 , 03:45:00,0,0
204,25/05/2023 , 04:00:00,0,0
205,25/05/2023 , 04:15:00,0,0
206,25/05/2023 , 04:30:00,0,0
207,25/05/2023 , 04:45:00,0,0
208,25/05/2023 , 05:00:00,0,0
209,25/05/2023 , 05:15:00,3,3
210,25/05/2023 , 05:30:00,17,17
211,25/05/2023 , 05:45:00,42,42
212,25/05/2023 , 06:00:00,71,71
213,25/05/2023 , 06:15:00,119,119
214,25/05/2023 , 06:30:00,153,153
215,25/05/2023 , 06:45:00,204,204
216,25/05/2023 , 07:00:00,322,322
217,25/05/2023 , 07:15:00,426,426
218,25/05/2023 , 07:30:00,450,450
219,25/05/2023 , 07:45:00,739,739
220,25/05/2023 , 08:00:00,788,788
221,25/05/2023 , 08:15:00,788,788
222,25/05/2023 , 08:30:00,980,980
223,25/05/2023 , 08:45:00,1071,1071
224,25/05/2023 , 09:00:00,1174,1174
225,25/05/2023 , 09:15:00,1299,1299
226,25/05/2023 , 09:30:00,1367,1367
227,25/05/2023 , 09:45:00,1216,1216
228,25/05/2023 , 10:00:00,1599,1599
229,25/05/2023 , 10:15:00,1937,1937
230,25/05/2023 , 10:30:00,2260,2260
231,25/05/2023 , 10:45:00,2261,2261
232,25/05/2023 , 11:00:00,2362,2362
233,25/05/2023 , 11:15:00,2043,2043
234,25/05/2023 , 11:30:00,594,594
235,25/05/2023 , 11:45:00,626,626
236,25/05/2023 , 12:00:00,831,831
237,25/05/2023 , 12:15:00,1415,1415
238,25/05/2023 , 12:30:00,3048,3048
239,25/05/2023 , 12:45:00,3017,3017
240,25/05/2023 , 13:00:00,3168,3168
241,25/05/2023 , 13:15:00,3308,3308
242,25/05/2023 , 13:30:00,2673,2673
243,25/05/2023 , 13:45:00,4267,4267
244,25/05/2023 , 14:00:00,4370,4370
245,25/05/2023 , 14:15:00,4829,4829
246,25/05/2023 , 14:30:00,4547,4547
247,25/05/2023 , 14:45:00,4112,4112
248,25/05/2023 , 15:00:00,3628,3628
249,25/05/2023 , 15:15:00,2967,2967
250,25/05/2023 , 15:30:00,527,527
251,25/05/2023 , 15:45:00,508,508
252,25/05/2023 , 16:00:00,510,510
253,25/05/2023 , 16:15:00,546,546
254,25/05/2023 , 16:30:00,514,514
255,25/05/2023 , 16:45:00,432,432
256,25/05/2023 , 17:00:00,367,367
257,25/05/2023 , 17:15:00,389,389
258,25/05/2023 , 17:30:00,846,846
259,25/05/2023 , 17:45:00,864,864
260,25/05/2023 , 18:00:00,814,814
261,25/05/2023 , 18:15:00,744,744
262,25/05/2023 , 18:30:00,649,649
263,25/05/2023 , 18:45:00,535,535
264,25/05/2023 , 19:00:00,442,442
265,25/05/2023 , 19:15:00,244,244
266,25/05/2023 , 19:30:00,63,63
267,25/05/2023 , 19:45:00,41,41
268,25/05/2023 , 20:00:00,35,35
269,25/05/2023 , 20:15:00,22,22
270,25/05/2023 , 20:30:00,11,11
271,25/05/2023 , 20:45:00,20,20
272,25/05/2023 , 21:00:00,12,12
273,25/05/2023 , 21:15:00,2,2
274,25/05/2023 , 21:30:00,0,0
275,25/05/2023 , 21:45:00,0,0
276,25/05/2023 , 22:00:00,0,0
277,25/05/2023 , 22:15:00,0,0
278,25/05/2023 , 22:30:00,0,0
279,25/05/2023 , 22:45:00,0,0
280,25/05/2023 , 23:00:00,0,0
281,25/05/2023 , 23:15:00,0,0
282,25/05/2023 , 23:30:00,0,0
283,25/05/2023 , 23:45:00,0,0
284,25/05/2023 , 24:00:00,0,0
285,26/05/2023 , 00:15:00,0,0
286,26/05/2023 , 00:30:00,0,0
287,26/05/2023 , 00:45:00,0,0
288,26/05/2023 , 01:00:00,0,0
289,26/05/2023 , 01:15:00,0,0
290,26/05/2023 , 01:30:00,0,0
291,26/05/2023 , 01:45:00,0,0
292,26/05/2023 , 02:00:00,0,0
293,26/05/2023 , 02:15:00,0,0
294,26/05/2023 , 02:30:00,0,0
295,26/05/2023 , 02:45:00,0,0
296,26/05/2023 , 03:00:00,0,0
297,26/05/2023 , 03:15:00,0,0
298,26/05/2023 , 03:30:00,0,0
299,26/05/2023 , 03:45:00,0,0
300,26/05/2023 , 04:00:00,0,0
301,26/05/2023 , 04:15:00,0,0
302,26/05/2023 , 04:30:00,0,0
303,26/05/2023 , 04:45:00,0,0
304,26/05/2023 , 05:00:00,0,0
305,26/05/2023 , 05:15:00,3,3
306,26/05/2023 , 05:30:00,15,15
307,26/05/2023 , 05:45:00,51,51
308,26/05/2023 , 06:00:00,110,110
309,26/05/2023 , 06:15:00,168,168
310,26/05/2023 , 06:30:00,228,228
311,26/05/2023 , 06:45:00,296,296
312,26/05/2023 , 07:00:00,306,306
313,26/05/2023 , 07:15:00,441,441
314,26/05/2023 , 07:30:00,569,569
315,26/05/2023 , 07:45:00,689,689
316,26/05/2023 , 08:00:00,894,894
317,26/05/2023 , 08:15:00,1022,1022
318,26/05/2023 , 08:30:00,1103,1103
319,26/05/2023 , 08:45:00,1201,1201
320,26/05/2023 , 09:00:00,1295,1295
321,26/05/2023 , 09:15:00,1566,1566
322,26/05/2023 , 09:30:00,1732,1732
323,26/05/2023 , 09:45:00,1822,1822
324,26/05/2023 , 10:00:00,1908,1908
325,26/05/2023 , 10:15:00,2036,2036
326,26/05/2023 , 10:30:00,2216,2216
327,26/05/2023 , 10:45:00,2506,2506
328,26/05/2023 , 11:00:00,2054,2054
329,26/05/2023 , 11:15:00,1542,1542
330,26/05/2023 , 11:30:00,1077,1077
331,26/05/2023 , 11:45:00,1019,1019
332,26/05/2023 , 12:00:00,934,934
333,26/05/2023 , 12:15:00,675,675
334,26/05/2023 , 12:30:00,764,764
335,26/05/2023 , 12:45:00,668,668
336,26/05/2023 , 13:00:00,699,699
337,26/05/2023 , 13:15:00,1041,1041
338,26/05/2023 , 13:30:00,1238,1238
339,26/05/2023 , 13:45:00,1509,1509
340,26/05/2023 , 14:00:00,2328,2328
341,26/05/2023 , 14:15:00,1878,1878
342,26/05/2023 , 14:30:00,2172,2172
343,26/05/2023 , 14:45:00,1801,1801
344,26/05/2023 , 15:00:00,1791,1791
345,26/05/2023 , 15:15:00,1667,1667
346,26/05/2023 , 15:30:00,1720,1720
347,26/05/2023 , 15:45:00,1009,1009
348,26/05/2023 , 16:00:00,916,916
349,26/05/2023 , 16:15:00,890,890
350,26/05/2023 , 16:30:00,583,583
351,26/05/2023 , 16:45:00,471,471
352,26/05/2023 , 17:00:00,762,762
353,26/05/2023 , 17:15:00,657,657
354,26/05/2023 , 17:30:00,443,443
355,26/05/2023 , 17:45:00,299,299
356,26/05/2023 , 18:00:00,328,328
357,26/05/2023 , 18:15:00,388,388
358,26/05/2023 , 18:30:00,347,347
359,26/05/2023 , 18:45:00,355,355
360,26/05/2023 , 19:00:00,383,383
361,26/05/2023 , 19:15:00,299,299
362,26/05/2023 , 19:30:00,242,242
363,26/05/2023 , 19:45:00,189,189
364,26/05/2023 , 20:00:00,117,117
365,26/05/2023 , 20:15:00,68,68
366,26/05/2023 , 20:30:00,49,49
367,26/05/2023 , 20:45:00,23,23
368,26/05/2023 , 21:00:00,11,11
369,26/05/2023 , 21:15:00,3,3
370,26/05/2023 , 21:30:00,0,0
371,26/05/2023 , 21:45:00,0,0
372,26/05/2023 , 22:00:00,0,0
373,26/05/2023 , 22:15:00,0,0
374,26/05/2023 , 22:30:00,0,0
375,26/05/2023 , 22:45:00,0,0
376,26/05/2023 , 23:00:00,0,0
377,26/05/2023 , 23:15:00,0,0
378,26/05/2023 , 23:30:00,0,0
379,26/05/2023 , 23:45:00,0,0
380,26/05/2023 , 24:00:00,0,0
381,27/05/2023 , 00:15:00,0,0
382,27/05/2023 , 00:30:00,0,0
383,27/05/2023 , 00:45:00,0,0
384,27/05/2023 , 01:00:00,0,0
385,27/05/2023 , 01:15:00,0,0
386,27/05/2023 , 01:30:00,0,0
387,27/05/2023 , 01:45:00,0,0
388,27/05/2023 , 02:00:00,0,0
389,27/05/2023 , 02:15:00,0,0
390,27/05/2023 , 02:30:00,0,0
391,27/05/2023 , 02:45:00,0,0
392,27/05/2023 , 03:00:00,0,0
393,27/05/2023 , 03:15:00,0,0
394,27/05/2023 , 03:30:00,0,0
395,27/05/2023 , 03:45:00,0,0
396,27/05/2023 , 04:00:00,0,0
397,27/05/2023 , 04:15:00,0,0
398,27/05/2023 , 04:30:00,0,0
399,27/05/2023 , 04:45:00,0,0
400,27/05/2023 , 05:00:00,0,0
401,27/05/2023 , 05:15:00,3,3
402,27/05/2023 , 05:30:00,12,12
403,27/05/2023 , 05:45:00,40,40
404,27/05/2023 , 06:00:00,78,78
405,27/05/2023 , 06:15:00,107,107
406,27/05/2023 , 06:30:00,144,144
407,27/05/2023 , 06:45:00,125,125
408,27/05/2023 , 07:00:00,149,149
409,27/05/2023 , 07:15:00,409,409
410,27/05/2023 , 07:30:00,468,468
411,27/05/2023 , 07:45:00,658,658
412,27/05/2023 , 08:00:00,1035,1035
413,27/05/2023 , 08:15:00,1062,1062
414,27/05/2023 , 08:30:00,1125,1125
415,27/05/2023 , 08:45:00,1202,1202
416,27/05/2023 , 09:00:00,1386,1386
417,27/05/2023 , 09:15:00,1240,1240
418,27/05/2023 , 09:30:00,1642,1642
419,27/05/2023 , 09:45:00,1746,1746
420,27/05/2023 , 10:00:00,1533,1533
421,27/05/2023 , 10:15:00,2034,2034
422,27/05/2023 , 10:30:00,1945,1945
423,27/05/2023 , 10:45:00,2317,2317
424,27/05/2023 , 11:00:00,2559,2559
425,27/05/2023 , 11:15:00,3082,3082
426,27/05/2023 , 11:30:00,3191,3191
427,27/05/2023 , 11:45:00,3317,3317
428,27/05/2023 , 12:00:00,3305,3305
429,27/05/2023 , 12:15:00,3311,3311
430,27/05/2023 , 12:30:00,3450,3450
431,27/05/2023 , 12:45:00,3547,3547
432,27/05/2023 , 13:00:00,3753,3753
433,27/05/2023 , 13:15:00,3835,3835
434,27/05/2023 , 13:30:00,3766,3766
435,27/05/2023 , 13:45:00,3859,3859
436,27/05/2023 , 14:00:00,3828,3828
437,27/05/2023 , 14:15:00,3632,3632
438,27/05/2023 , 14:30:00,3618,3618
439,27/05/2023 , 14:45:00,3522,3522
440,27/05/2023 , 15:00:00,3460,3460
441,27/05/2023 , 15:15:00,3417,3417
442,27/05/2023 , 15:30:00,3185,3185
443,27/05/2023 , 15:45:00,3098,3098
444,27/05/2023 , 16:00:00,2885,2885
445,27/05/2023 , 16:15:00,2659,2659
446,27/05/2023 , 16:30:00,2567,2567
447,27/05/2023 , 16:45:00,2421,2421
448,27/05/2023 , 17:00:00,2112,2112
449,27/05/2023 , 17:15:00,1786,1786
450,27/05/2023 , 17:30:00,1554,1554
451,27/05/2023 , 17:45:00,1217,1217
452,27/05/2023 , 18:00:00,1015,1015
453,27/05/2023 , 18:15:00,675,675
454,27/05/2023 , 18:30:00,651,651
455,27/05/2023 , 18:45:00,446,446
456,27/05/2023 , 19:00:00,323,323
457,27/05/2023 , 19:15:00,257,257
458,27/05/2023 , 19:30:00,161,161
459,27/05/2023 , 19:45:00,69,69
460,27/05/2023 , 20:00:00,67,67
461,27/05/2023 , 20:15:00,44,44
462,27/05/2023 , 20:30:00,23,23
463,27/05/2023 , 20:45:00,13,13
464,27/05/2023 , 21:00:00,6,6
465,27/05/2023 , 21:15:00,0,0
466,27/05/2023 , 21:30:00,0,0
467,27/05/2023 , 21:45:00,0,0
468,27/05/2023 , 22:00:00,0,0
469,27/05/2023 , 22:15:00,0,0
470,27/05/2023 , 22:30:00,0,0
471,27/05/2023 , 22:45:00,0,0
472,27/05/2023 , 23:00:00,0,0
473,27/05/2023 , 23:15:00,0,0
474,27/05/2023 , 23:30:00,0,0
475,27/05/2023 , 23:45:00,0,0
476,27/05/2023 , 24:00:00,0,0
477,28/05/2023 , 00:15:00,0,0
478,28/05/2023 , 00:30:00,0,0
479,28/05/2023 , 00:45:00,0,0
480,28/05/2023 , 01:00:00,0,0
481,28/05/2023 , 01:15:00,0,0
482,28/05/2023 , 01:30:00,0,0
483,28/05/2023 , 01:45:00,0,0
484,28/05/2023 , 02:00:00,0,0
485,28/05/2023 , 02:15:00,0,0
486,28/05/2023 , 02:30:00,0,0
487,28/05/2023 , 02:45:00,0,0
488,28/05/2023 , 03:00:00,0,0
489,28/05/2023 , 03:15:00,0,0
490,28/05/2023 , 03:30:00,0,0
491,28/05/2023 , 03:45:00,0,0
492,28/05/2023 , 04:00:00,0,0
493,28/05/2023 , 04:15:00,0,0
494,28/05/2023 , 04:30:00,0,0
495,28/05/2023 , 04:45:00,0,0
496,28/05/2023 , 05:00:00,0,0
497,28/05/2023 , 05:15:00,4,4
498,28/05/2023 , 05:30:00,14,14
499,28/05/2023 , 05:45:00,38,38
500,28/05/2023 , 06:00:00,84,84
501,28/05/2023 , 06:15:00,152,152
502,28/05/2023 , 06:30:00,244,244
503,28/05/2023 , 06:45:00,331,331
504,28/05/2023 , 07:00:00,380,380
505,28/05/2023 , 07:15:00,657,657
506,28/05/2023 , 07:30:00,935,935
507,28/05/2023 , 07:45:00,1157,1157
508,28/05/2023 , 08:00:00,1545,1545
