#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,05/17/2023 13:13:10,,Logged,,,
2,05/17/2023 13:13:11,,,Logged,,
3,05/17/2023 13:13:29,,,,Logged,
4,05/18/2023 13:32:05,,Logged,,,
5,05/18/2023 13:32:07,,,Logged,,
6,05/23/2023 01:00:00,9.939,,,,
7,05/23/2023 01:15:00,9.929,,,,
8,05/23/2023 01:30:00,9.896,,,,
9,05/23/2023 01:45:00,9.843,,,,
10,05/23/2023 02:00:00,9.811,,,,
11,05/23/2023 02:15:00,9.811,,,,
12,05/23/2023 02:30:00,9.832,,,,
13,05/23/2023 02:45:00,9.864,,,,
14,05/23/2023 03:00:00,9.950,,,,
15,05/23/2023 03:15:00,10.014,,,,
16,05/23/2023 03:30:00,10.143,,,,
17,05/23/2023 03:45:00,10.315,,,,
18,05/23/2023 04:00:00,10.401,,,,
19,05/23/2023 04:15:00,10.454,,,,
20,05/23/2023 04:30:00,10.497,,,,
21,05/23/2023 04:45:00,10.540,,,,
22,05/23/2023 05:00:00,10.519,,,,
23,05/23/2023 05:15:00,10.497,,,,
24,05/23/2023 05:30:00,10.240,,,,
25,05/23/2023 05:45:00,10.132,,,,
26,05/23/2023 06:00:00,10.079,,,,
27,05/23/2023 06:15:00,10.047,,,,
28,05/23/2023 06:30:00,9.982,,,,
29,05/23/2023 06:45:00,9.950,,,,
30,05/23/2023 07:00:00,9.961,,,,
31,05/23/2023 07:15:00,9.929,,,,
32,05/23/2023 07:30:00,9.929,,,,
33,05/23/2023 07:45:00,9.929,,,,
34,05/23/2023 08:00:00,9.939,,,,
35,05/23/2023 08:15:00,9.982,,,,
36,05/23/2023 08:30:00,10.154,,,,
37,05/23/2023 08:45:00,10.283,,,,
38,05/23/2023 09:00:00,10.325,,,,
39,05/23/2023 09:15:00,10.401,,,,
40,05/23/2023 09:30:00,10.583,,,,
41,05/23/2023 09:45:00,10.851,,,,
42,05/23/2023 10:00:00,10.840,,,,
43,05/23/2023 10:15:00,10.990,,,,
44,05/23/2023 10:30:00,11.044,,,,
45,05/23/2023 10:45:00,10.990,,,,
46,05/23/2023 11:00:00,10.958,,,,
47,05/23/2023 11:15:00,10.990,,,,
48,05/23/2023 11:30:00,10.990,,,,
49,05/23/2023 11:45:00,10.990,,,,
50,05/23/2023 12:00:00,11.066,,,,
51,05/23/2023 12:15:00,11.344,,,,
52,05/23/2023 12:30:00,11.495,,,,
53,05/23/2023 12:45:00,12.664,,,,
54,05/23/2023 13:00:00,13.339,,,,
55,05/23/2023 13:15:00,11.677,,,,
56,05/23/2023 13:30:00,11.108,,,,
57,05/23/2023 13:45:00,12.310,,,,
58,05/23/2023 14:00:00,13.264,,,,
59,05/23/2023 14:15:00,13.093,,,,
60,05/23/2023 14:30:00,13.039,,,,
61,05/23/2023 14:45:00,11.977,,,,
62,05/23/2023 15:00:00,11.924,,,,
63,05/23/2023 15:15:00,11.891,,,,
64,05/23/2023 15:30:00,11.763,,,,
65,05/23/2023 15:45:00,11.548,,,,
66,05/23/2023 16:00:00,11.387,,,,
67,05/23/2023 16:15:00,11.141,,,,
68,05/23/2023 16:30:00,10.851,,,,
69,05/23/2023 16:45:00,10.765,,,,
70,05/23/2023 17:00:00,10.637,,,,
71,05/23/2023 17:15:00,10.529,,,,
72,05/23/2023 17:30:00,10.529,,,,
73,05/23/2023 17:45:00,10.540,,,,
74,05/23/2023 18:00:00,10.519,,,,
75,05/23/2023 18:15:00,10.529,,,,
76,05/23/2023 18:30:00,10.486,,,,
77,05/23/2023 18:45:00,10.401,,,,
78,05/23/2023 19:00:00,10.325,,,,
79,05/23/2023 19:15:00,10.390,,,,
80,05/23/2023 19:30:00,10.529,,,,
81,05/23/2023 19:45:00,10.615,,,,
82,05/23/2023 20:00:00,10.476,,,,
83,05/23/2023 20:15:00,10.465,,,,
84,05/23/2023 20:30:00,10.529,,,,
85,05/23/2023 20:45:00,10.497,,,,
86,05/23/2023 21:00:00,10.390,,,,
87,05/23/2023 21:15:00,10.508,,,,
88,05/23/2023 21:30:00,10.497,,,,
89,05/23/2023 21:45:00,10.240,,,,
90,05/23/2023 22:00:00,10.347,,,,
91,05/23/2023 22:15:00,10.465,,,,
92,05/23/2023 22:30:00,10.476,,,,
93,05/23/2023 22:45:00,10.379,,,,
94,05/23/2023 23:00:00,10.411,,,,
95,05/23/2023 23:15:00,10.443,,,,
96,05/23/2023 23:30:00,10.433,,,,
97,05/23/2023 23:45:00,10.443,,,,
98,05/24/2023 00:00:00,10.443,,,,
99,05/24/2023 00:15:00,10.411,,,,
100,05/24/2023 00:30:00,10.390,,,,
101,05/24/2023 00:45:00,10.358,,,,
102,05/24/2023 01:00:00,10.336,,,,
103,05/24/2023 01:15:00,10.325,,,,
104,05/24/2023 01:30:00,10.325,,,,
105,05/24/2023 01:45:00,10.315,,,,
106,05/24/2023 02:00:00,10.315,,,,
107,05/24/2023 02:15:00,10.111,,,,
108,05/24/2023 02:30:00,9.929,,,,
109,05/24/2023 02:45:00,9.843,,,,
110,05/24/2023 03:00:00,9.854,,,,
111,05/24/2023 03:15:00,9.864,,,,
112,05/24/2023 03:30:00,9.886,,,,
113,05/24/2023 03:45:00,9.886,,,,
114,05/24/2023 04:00:00,9.757,,,,
115,05/24/2023 04:15:00,9.961,,,,
116,05/24/2023 04:30:00,10.122,,,,
117,05/24/2023 04:45:00,10.229,,,,
118,05/24/2023 05:00:00,10.272,,,,
119,05/24/2023 05:15:00,10.283,,,,
120,05/24/2023 05:30:00,10.304,,,,
121,05/24/2023 05:45:00,10.336,,,,
122,05/24/2023 06:00:00,10.390,,,,
123,05/24/2023 06:15:00,10.443,,,,
124,05/24/2023 06:30:00,10.486,,,,
125,05/24/2023 06:45:00,10.497,,,,
126,05/24/2023 07:00:00,10.497,,,,
127,05/24/2023 07:15:00,10.454,,,,
128,05/24/2023 07:30:00,10.411,,,,
129,05/24/2023 07:45:00,10.347,,,,
130,05/24/2023 08:00:00,10.186,,,,
131,05/24/2023 08:15:00,10.122,,,,
132,05/24/2023 08:30:00,10.111,,,,
133,05/24/2023 08:45:00,10.111,,,,
134,05/24/2023 09:00:00,10.154,,,,
135,05/24/2023 09:15:00,10.154,,,,
136,05/24/2023 09:30:00,10.154,,,,
137,05/24/2023 09:45:00,10.197,,,,
138,05/24/2023 10:00:00,10.175,,,,
139,05/24/2023 10:15:00,10.240,,,,
140,05/24/2023 10:30:00,10.379,,,,
141,05/24/2023 10:45:00,10.465,,,,
142,05/24/2023 11:00:00,10.508,,,,
143,05/24/2023 11:15:00,10.583,,,,
144,05/24/2023 11:30:00,11.055,,,,
145,05/24/2023 11:45:00,12.492,,,,
146,05/24/2023 12:00:00,12.782,,,,
147,05/24/2023 12:15:00,12.889,,,,
148,05/24/2023 12:30:00,13.082,,,,
149,05/24/2023 12:45:00,13.178,,,,
150,05/24/2023 13:00:00,13.318,,,,
151,05/24/2023 13:15:00,13.404,,,,
152,05/24/2023 13:30:00,13.468,,,,
153,05/24/2023 13:45:00,13.554,,,,
