"Plot Title: 21746438"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 21746438, SEN S/N: 21746438)","High Range, μS/cm (LGR S/N: 21746438, SEN S/N: 21746438)","Temp, °F (LGR S/N: 21746438, SEN S/N: 21746438)","Specific Conductance, μS/cm (LGR S/N: 21746438)","Salinity, ppt (LGR S/N: 21746438)","Coupler Detached (LGR S/N: 21746438)","Coupler Attached (LGR S/N: 21746438)","Host Connected (LGR S/N: 21746438)","Stopped (LGR S/N: 21746438)","End Of File (LGR S/N: 21746438)"
1,05/23/23 01:00:00 AM,30206.8,34184.8,49.78,,,Logged,,,,
2,05/23/23 01:15:00 AM,30206.8,34184.8,49.75,,,,,,,
3,05/23/23 01:30:00 AM,30119.2,34148.9,49.69,,,,,,,
4,05/23/23 01:45:00 AM,30089.2,34110.5,49.60,,,,,,,
5,05/23/23 02:00:00 AM,30089.2,34087.6,49.55,,,,,,,
6,05/23/23 02:15:00 AM,30176.7,34085.0,49.57,,,,,,,
7,05/23/23 02:30:00 AM,30176.7,34105.4,49.60,,,,,,,
8,05/23/23 02:45:00 AM,30267.0,34172.0,49.69,,,,,,,
9,05/23/23 03:00:00 AM,30236.9,34243.8,49.82,,,,,,,
10,05/23/23 03:15:00 AM,30324.9,34316.0,49.98,,,,,,,
11,05/23/23 03:30:00 AM,30504.4,34484.5,50.27,,,,,,,
12,05/23/23 03:45:00 AM,30593.3,34649.1,50.54,,,,,,,
13,05/23/23 04:00:00 AM,30713.1,34662.2,50.65,,,,,,,
14,05/23/23 04:15:00 AM,30805.3,34654.3,50.72,,,,,,,
15,05/23/23 04:30:00 AM,30836.0,34770.1,50.77,,,,,,,
16,05/23/23 04:45:00 AM,30836.0,34793.9,50.86,,,,,,,
17,05/23/23 05:00:00 AM,30713.1,34778.1,50.83,,,,,,,
18,05/23/23 05:15:00 AM,30805.3,34778.1,50.81,,,,,,,
19,05/23/23 05:30:00 AM,30504.4,34476.7,50.27,,,,,,,
20,05/23/23 05:45:00 AM,30413.2,34372.9,50.07,,,,,,,
21,05/23/23 06:00:00 AM,30413.2,34318.6,50.02,,,,,,,
22,05/23/23 06:15:00 AM,30443.6,34328.9,50.00,,,,,,,
23,05/23/23 06:30:00 AM,30324.9,34254.1,49.84,,,,,,,
24,05/23/23 06:45:00 AM,30206.8,34233.6,49.82,,,,,,,
25,05/23/23 07:00:00 AM,30294.7,34231.0,49.82,,,,,,,
26,05/23/23 07:15:00 AM,30294.7,34233.6,49.80,,,,,,,
27,05/23/23 07:30:00 AM,30294.7,34238.7,49.78,,,,,,,
28,05/23/23 07:45:00 AM,30382.9,34223.3,49.78,,,,,,,
29,05/23/23 08:00:00 AM,30382.9,34243.8,49.78,,,,,,,
30,05/23/23 08:15:00 AM,30355.2,34272.2,49.87,,,,,,,
31,05/23/23 08:30:00 AM,30443.6,34422.1,50.27,,,,,,,
32,05/23/23 08:45:00 AM,30501.8,34528.8,50.40,,,,,,,
33,05/23/23 09:00:00 AM,30501.8,34518.3,50.43,,,,,,,
34,05/23/23 09:15:00 AM,30562.7,34528.8,50.47,,,,,,,
35,05/23/23 09:30:00 AM,30833.5,34767.5,50.94,,,,,,,
36,05/23/23 09:45:00 AM,30802.7,34993.1,51.40,,,,,,,
