#,Date-Time (PDT),Ch:1 - Temperature   (°C),Host Connected,Button Down,Button Up,End of File
1,05/17/2023 12:31:37,,Logged,,,
2,05/17/2023 13:22:56,,,Logged,Logged,
3,05/17/2023 13:23:09,,Logged,,,
4,05/23/2023 01:00:00,9.467,,,,
5,05/23/2023 01:15:00,9.467,,,,
6,05/23/2023 01:30:00,9.457,,,,
7,05/23/2023 01:45:00,9.467,,,,
8,05/23/2023 02:00:00,9.489,,,,
9,05/23/2023 02:15:00,9.489,,,,
10,05/23/2023 02:30:00,9.478,,,,
11,05/23/2023 02:45:00,9.478,,,,
12,05/23/2023 03:00:00,9.467,,,,
13,05/23/2023 03:15:00,9.446,,,,
14,05/23/2023 03:30:00,9.446,,,,
15,05/23/2023 03:45:00,9.457,,,,
16,05/23/2023 04:00:00,9.521,,,,
17,05/23/2023 04:15:00,9.703,,,,
18,05/23/2023 04:30:00,10.047,,,,
19,05/23/2023 04:45:00,10.390,,,,
20,05/23/2023 05:00:00,10.744,,,,
21,05/23/2023 05:15:00,11.023,,,,
22,05/23/2023 05:30:00,11.055,,,,
23,05/23/2023 05:45:00,10.969,,,,
24,05/23/2023 06:00:00,10.872,,,,
25,05/23/2023 06:15:00,10.980,,,,
26,05/23/2023 06:30:00,11.076,,,,
27,05/23/2023 06:45:00,11.076,,,,
28,05/23/2023 07:00:00,11.119,,,,
29,05/23/2023 07:15:00,11.141,,,,
30,05/23/2023 07:30:00,11.108,,,,
31,05/23/2023 07:45:00,11.119,,,,
32,05/23/2023 08:00:00,11.023,,,,
33,05/23/2023 08:15:00,11.023,,,,
34,05/23/2023 08:30:00,11.023,,,,
35,05/23/2023 08:45:00,10.958,,,,
36,05/23/2023 09:00:00,10.529,,,,
37,05/23/2023 09:15:00,10.283,,,,
38,05/23/2023 09:30:00,9.961,,,,
39,05/23/2023 09:45:00,9.864,,,,
40,05/23/2023 10:00:00,9.768,,,,
41,05/23/2023 10:15:00,9.714,,,,
42,05/23/2023 10:30:00,9.682,,,,
43,05/23/2023 10:45:00,9.671,,,,
44,05/23/2023 11:00:00,9.703,,,,
45,05/23/2023 11:15:00,9.746,,,,
46,05/23/2023 11:30:00,9.843,,,,
47,05/23/2023 11:45:00,9.961,,,,
48,05/23/2023 12:00:00,10.047,,,,
49,05/23/2023 12:15:00,10.090,,,,
50,05/23/2023 12:30:00,10.272,,,,
51,05/23/2023 12:45:00,10.293,,,,
52,05/23/2023 13:00:00,10.315,,,,
53,05/23/2023 13:15:00,10.368,,,,
54,05/23/2023 13:30:00,10.422,,,,
55,05/23/2023 13:45:00,10.401,,,,
56,05/23/2023 14:00:00,10.615,,,,
57,05/23/2023 14:15:00,10.679,,,,
58,05/23/2023 14:30:00,10.787,,,,
59,05/23/2023 14:45:00,10.905,,,,
60,05/23/2023 15:00:00,11.001,,,,
61,05/23/2023 15:15:00,11.119,,,,
62,05/23/2023 15:30:00,11.269,,,,
63,05/23/2023 15:45:00,11.334,,,,
64,05/23/2023 16:00:00,11.312,,,,
65,05/23/2023 16:15:00,11.398,,,,
66,05/23/2023 16:30:00,11.452,,,,
67,05/23/2023 16:45:00,11.484,,,,
68,05/23/2023 17:00:00,11.527,,,,
69,05/23/2023 17:15:00,11.591,,,,
70,05/23/2023 17:30:00,11.666,,,,
71,05/23/2023 17:45:00,11.773,,,,
72,05/23/2023 18:00:00,11.773,,,,
73,05/23/2023 18:15:00,11.591,,,,
74,05/23/2023 18:30:00,11.044,,,,
75,05/23/2023 18:45:00,10.626,,,,
76,05/23/2023 19:00:00,10.186,,,,
77,05/23/2023 19:15:00,9.864,,,,
78,05/23/2023 19:30:00,9.779,,,,
79,05/23/2023 19:45:00,9.714,,,,
80,05/23/2023 20:00:00,9.607,,,,
81,05/23/2023 20:15:00,9.553,,,,
82,05/23/2023 20:30:00,9.489,,,,
83,05/23/2023 20:45:00,9.435,,,,
84,05/23/2023 21:00:00,9.467,,,,
85,05/23/2023 21:15:00,9.521,,,,
86,05/23/2023 21:30:00,9.564,,,,
87,05/23/2023 21:45:00,9.585,,,,
88,05/23/2023 22:00:00,9.639,,,,
89,05/23/2023 22:15:00,9.639,,,,
90,05/23/2023 22:30:00,9.618,,,,
91,05/23/2023 22:45:00,9.639,,,,
92,05/23/2023 23:00:00,9.671,,,,
93,05/23/2023 23:15:00,9.682,,,,
94,05/23/2023 23:30:00,9.757,,,,
95,05/23/2023 23:45:00,9.757,,,,
96,05/24/2023 00:00:00,9.789,,,,
97,05/24/2023 00:15:00,9.972,,,,
98,05/24/2023 00:30:00,10.519,,,,
99,05/24/2023 00:45:00,10.443,,,,
100,05/24/2023 01:00:00,10.325,,,,
101,05/24/2023 01:15:00,10.336,,,,
102,05/24/2023 01:30:00,10.347,,,,
103,05/24/2023 01:45:00,10.283,,,,
104,05/24/2023 02:00:00,10.240,,,,
105,05/24/2023 02:15:00,10.165,,,,
106,05/24/2023 02:30:00,10.175,,,,
107,05/24/2023 02:45:00,10.229,,,,
108,05/24/2023 03:00:00,10.250,,,,
109,05/24/2023 03:15:00,10.293,,,,
110,05/24/2023 03:30:00,10.315,,,,
111,05/24/2023 03:45:00,10.358,,,,
112,05/24/2023 04:00:00,10.368,,,,
113,05/24/2023 04:15:00,10.411,,,,
114,05/24/2023 04:30:00,10.454,,,,
115,05/24/2023 04:45:00,10.572,,,,
116,05/24/2023 05:00:00,10.776,,,,
117,05/24/2023 05:15:00,10.872,,,,
118,05/24/2023 05:30:00,10.830,,,,
119,05/24/2023 05:45:00,10.819,,,,
120,05/24/2023 06:00:00,10.840,,,,
121,05/24/2023 06:15:00,10.915,,,,
122,05/24/2023 06:30:00,10.937,,,,
123,05/24/2023 06:45:00,10.872,,,,
124,05/24/2023 07:00:00,11.280,,,,
125,05/24/2023 07:15:00,11.334,,,,
126,05/24/2023 07:30:00,11.291,,,,
127,05/24/2023 07:45:00,11.301,,,,
128,05/24/2023 08:00:00,11.323,,,,
129,05/24/2023 08:15:00,11.344,,,,
130,05/24/2023 08:30:00,11.334,,,,
131,05/24/2023 08:45:00,11.323,,,,
132,05/24/2023 09:00:00,11.441,,,,
133,05/24/2023 09:15:00,11.366,,,,
134,05/24/2023 09:30:00,11.430,,,,
135,05/24/2023 09:45:00,11.398,,,,
136,05/24/2023 10:00:00,11.398,,,,
137,05/24/2023 10:15:00,11.334,,,,
138,05/24/2023 10:30:00,11.269,,,,
139,05/24/2023 10:45:00,11.280,,,,
140,05/24/2023 11:00:00,11.398,,,,
141,05/24/2023 11:15:00,11.505,,,,
142,05/24/2023 11:30:00,11.591,,,,
143,05/24/2023 11:45:00,12.052,,,,
144,05/24/2023 12:00:00,11.677,,,,
145,05/24/2023 12:15:00,11.709,,,,
146,05/24/2023 12:30:00,11.859,,,,
147,05/24/2023 12:45:00,11.999,,,,
148,05/24/2023 13:00:00,12.052,,,,
149,05/24/2023 13:15:00,11.055,,,,
150,05/24/2023 13:30:00,10.905,,,,
151,05/24/2023 13:45:00,10.948,,,,
152,05/24/2023 14:00:00,11.066,,,,
153,05/24/2023 14:15:00,11.205,,,,
154,05/24/2023 14:30:00,11.301,,,,
155,05/24/2023 14:45:00,11.280,,,,
156,05/24/2023 15:00:00,11.344,,,,
157,05/24/2023 15:15:00,11.334,,,,
158,05/24/2023 15:30:00,11.387,,,,
159,05/24/2023 15:45:00,11.419,,,,
160,05/24/2023 16:00:00,11.505,,,,
161,05/24/2023 16:15:00,11.591,,,,
162,05/24/2023 16:30:00,11.677,,,,
163,05/24/2023 16:45:00,11.698,,,,
164,05/24/2023 17:00:00,11.730,,,,
165,05/24/2023 17:15:00,11.827,,,,
166,05/24/2023 17:30:00,11.881,,,,
167,05/24/2023 17:45:00,11.977,,,,
168,05/24/2023 18:00:00,11.977,,,,
169,05/24/2023 18:15:00,12.031,,,,
170,05/24/2023 18:30:00,12.170,,,,
171,05/24/2023 18:45:00,12.256,,,,
172,05/24/2023 19:00:00,12.235,,,,
173,05/24/2023 19:15:00,12.277,,,,
174,05/24/2023 19:30:00,12.310,,,,
175,05/24/2023 19:45:00,12.331,,,,
176,05/24/2023 20:00:00,10.476,,,,
177,05/24/2023 20:15:00,10.057,,,,
178,05/24/2023 20:30:00,10.014,,,,
179,05/24/2023 20:45:00,10.047,,,,
180,05/24/2023 21:00:00,10.358,,,,
181,05/24/2023 21:15:00,10.787,,,,
182,05/24/2023 21:30:00,11.570,,,,
183,05/24/2023 21:45:00,12.353,,,,
184,05/24/2023 22:00:00,12.192,,,,
185,05/24/2023 22:15:00,11.012,,,,
186,05/24/2023 22:30:00,10.722,,,,
187,05/24/2023 22:45:00,10.647,,,,
188,05/24/2023 23:00:00,10.583,,,,
189,05/24/2023 23:15:00,10.508,,,,
190,05/24/2023 23:30:00,10.476,,,,
191,05/24/2023 23:45:00,10.454,,,,
192,05/25/2023 00:00:00,10.443,,,,
193,05/25/2023 00:15:00,10.454,,,,
194,05/25/2023 00:30:00,10.454,,,,
195,05/25/2023 00:45:00,10.465,,,,
196,05/25/2023 01:00:00,10.486,,,,
197,05/25/2023 01:15:00,10.497,,,,
198,05/25/2023 01:30:00,10.679,,,,
199,05/25/2023 01:45:00,11.108,,,,
200,05/25/2023 02:00:00,11.108,,,,
201,05/25/2023 02:15:00,10.969,,,,
202,05/25/2023 02:30:00,10.851,,,,
203,05/25/2023 02:45:00,10.733,,,,
204,05/25/2023 03:00:00,10.647,,,,
205,05/25/2023 03:15:00,10.529,,,,
206,05/25/2023 03:30:00,10.422,,,,
207,05/25/2023 03:45:00,10.261,,,,
208,05/25/2023 04:00:00,10.154,,,,
209,05/25/2023 04:15:00,10.057,,,,
210,05/25/2023 04:30:00,9.982,,,,
211,05/25/2023 04:45:00,9.993,,,,
212,05/25/2023 05:00:00,10.068,,,,
213,05/25/2023 05:15:00,10.186,,,,
214,05/25/2023 05:30:00,10.304,,,,
215,05/25/2023 05:45:00,10.379,,,,
216,05/25/2023 06:00:00,10.529,,,,
217,05/25/2023 06:15:00,10.529,,,,
218,05/25/2023 06:30:00,10.551,,,,
219,05/25/2023 06:45:00,10.594,,,,
220,05/25/2023 07:00:00,10.583,,,,
221,05/25/2023 07:15:00,10.701,,,,
222,05/25/2023 07:30:00,10.980,,,,
223,05/25/2023 07:45:00,11.055,,,,
224,05/25/2023 08:00:00,11.044,,,,
225,05/25/2023 08:15:00,11.226,,,,
226,05/25/2023 08:30:00,11.248,,,,
227,05/25/2023 08:45:00,11.226,,,,
228,05/25/2023 09:00:00,11.248,,,,
229,05/25/2023 09:15:00,11.248,,,,
230,05/25/2023 09:30:00,11.237,,,,
231,05/25/2023 09:45:00,11.452,,,,
232,05/25/2023 10:00:00,11.655,,,,
233,05/25/2023 10:15:00,11.623,,,,
234,05/25/2023 10:30:00,11.655,,,,
235,05/25/2023 10:45:00,11.655,,,,
236,05/25/2023 11:00:00,11.666,,,,
237,05/25/2023 11:15:00,11.859,,,,
238,05/25/2023 11:30:00,11.816,,,,
239,05/25/2023 11:45:00,11.795,,,,
240,05/25/2023 12:00:00,11.752,,,,
241,05/25/2023 12:15:00,11.848,,,,
242,05/25/2023 12:30:00,11.870,,,,
243,05/25/2023 12:45:00,11.891,,,,
244,05/25/2023 13:00:00,11.913,,,,
245,05/25/2023 13:15:00,12.031,,,,
246,05/25/2023 13:30:00,12.192,,,,
247,05/25/2023 13:45:00,12.331,,,,
248,05/25/2023 14:00:00,12.374,,,,
249,05/25/2023 14:15:00,12.374,,,,
250,05/25/2023 14:30:00,12.438,,,,
251,05/25/2023 14:45:00,12.471,,,,
252,05/25/2023 15:00:00,12.631,,,,
253,05/25/2023 15:15:00,12.728,,,,
254,05/25/2023 15:30:00,12.717,,,,
255,05/25/2023 15:45:00,12.760,,,,
256,05/25/2023 16:00:00,12.803,,,,
257,05/25/2023 16:15:00,12.878,,,,
258,05/25/2023 16:30:00,12.942,,,,
259,05/25/2023 16:45:00,13.007,,,,
260,05/25/2023 17:00:00,13.103,,,,
261,05/25/2023 17:15:00,13.157,,,,
262,05/25/2023 17:30:00,13.318,,,,
263,05/25/2023 17:45:00,13.414,,,,
264,05/25/2023 18:00:00,13.522,,,,
265,05/25/2023 18:15:00,13.554,,,,
266,05/25/2023 18:30:00,13.640,,,,
267,05/25/2023 18:45:00,13.693,,,,
268,05/25/2023 19:00:00,13.693,,,,
269,05/25/2023 19:15:00,13.468,,,,
270,05/25/2023 19:30:00,13.103,,,,
271,05/25/2023 19:45:00,12.953,,,,
272,05/25/2023 20:00:00,12.889,,,,
273,05/25/2023 20:15:00,12.857,,,,
274,05/25/2023 20:30:00,12.664,,,,
275,05/25/2023 20:45:00,12.621,,,,
276,05/25/2023 21:00:00,12.492,,,,
277,05/25/2023 21:15:00,12.063,,,,
278,05/25/2023 21:30:00,11.870,,,,
279,05/25/2023 21:45:00,11.527,,,,
280,05/25/2023 22:00:00,11.377,,,,
281,05/25/2023 22:15:00,11.387,,,,
282,05/25/2023 22:30:00,11.419,,,,
283,05/25/2023 22:45:00,11.537,,,,
284,05/25/2023 23:00:00,11.591,,,,
285,05/25/2023 23:15:00,11.452,,,,
286,05/25/2023 23:30:00,11.184,,,,
287,05/25/2023 23:45:00,10.990,,,,
288,05/26/2023 00:00:00,11.044,,,,
289,05/26/2023 00:15:00,11.066,,,,
290,05/26/2023 00:30:00,10.937,,,,
291,05/26/2023 00:45:00,10.905,,,,
292,05/26/2023 01:00:00,10.926,,,,
293,05/26/2023 01:15:00,10.937,,,,
294,05/26/2023 01:30:00,10.990,,,,
295,05/26/2023 01:45:00,11.044,,,,
296,05/26/2023 02:00:00,11.130,,,,
297,05/26/2023 02:15:00,11.280,,,,
298,05/26/2023 02:30:00,11.312,,,,
299,05/26/2023 02:45:00,11.344,,,,
