Site Name ,ODYLIGHT-5992
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,5992


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,23/05/2023 , 01:15:00,0,0
2,23/05/2023 , 01:30:00,0,0
3,23/05/2023 , 01:45:00,0,0
4,23/05/2023 , 02:00:00,0,0
5,23/05/2023 , 02:15:00,0,0
6,23/05/2023 , 02:30:00,0,0
7,23/05/2023 , 02:45:00,0,0
8,23/05/2023 , 03:00:00,0,0
9,23/05/2023 , 03:15:00,0,0
10,23/05/2023 , 03:30:00,0,0
11,23/05/2023 , 03:45:00,0,0
12,23/05/2023 , 04:00:00,0,0
13,23/05/2023 , 04:15:00,0,0
14,23/05/2023 , 04:30:00,0,0
15,23/05/2023 , 04:45:00,0,0
16,23/05/2023 , 05:00:00,0,0
17,23/05/2023 , 05:15:00,1,1
18,23/05/2023 , 05:30:00,3,3
19,23/05/2023 , 05:45:00,6,6
20,23/05/2023 , 06:00:00,9,9
21,23/05/2023 , 06:15:00,15,15
22,23/05/2023 , 06:30:00,27,27
23,23/05/2023 , 06:45:00,48,48
24,23/05/2023 , 07:00:00,81,81
25,23/05/2023 , 07:15:00,94,94
26,23/05/2023 , 07:30:00,133,133
27,23/05/2023 , 07:45:00,177,177
28,23/05/2023 , 08:00:00,150,150
29,23/05/2023 , 08:15:00,170,170
30,23/05/2023 , 08:30:00,237,237
31,23/05/2023 , 08:45:00,372,372
32,23/05/2023 , 09:00:00,442,442
33,23/05/2023 , 09:15:00,689,689
34,23/05/2023 , 09:30:00,791,791
35,23/05/2023 , 09:45:00,876,876
36,23/05/2023 , 10:00:00,765,765
37,23/05/2023 , 10:15:00,519,519
38,23/05/2023 , 10:30:00,493,493
39,23/05/2023 , 10:45:00,915,915
40,23/05/2023 , 11:00:00,1023,1023
41,23/05/2023 , 11:15:00,893,893
42,23/05/2023 , 11:30:00,751,751
43,23/05/2023 , 11:45:00,1341,1341
44,23/05/2023 , 12:00:00,1167,1167
45,23/05/2023 , 12:15:00,1279,1279
46,23/05/2023 , 12:30:00,1152,1152
47,23/05/2023 , 12:45:00,1299,1299
48,23/05/2023 , 13:00:00,1656,1656
49,23/05/2023 , 13:15:00,1312,1312
50,23/05/2023 , 13:30:00,1499,1499
51,23/05/2023 , 13:45:00,1286,1286
52,23/05/2023 , 14:00:00,998,998
53,23/05/2023 , 14:15:00,1716,1716
54,23/05/2023 , 14:30:00,2116,2116
55,23/05/2023 , 14:45:00,2307,2307
56,23/05/2023 , 15:00:00,1991,1991
57,23/05/2023 , 15:15:00,1974,1974
58,23/05/2023 , 15:30:00,1476,1476
59,23/05/2023 , 15:45:00,895,895
60,23/05/2023 , 16:00:00,744,744
61,23/05/2023 , 16:15:00,707,707
62,23/05/2023 , 16:30:00,635,635
63,23/05/2023 , 16:45:00,482,482
64,23/05/2023 , 17:00:00,386,386
65,23/05/2023 , 17:15:00,384,384
66,23/05/2023 , 17:30:00,338,338
67,23/05/2023 , 17:45:00,301,301
68,23/05/2023 , 18:00:00,329,329
69,23/05/2023 , 18:15:00,338,338
70,23/05/2023 , 18:30:00,325,325
71,23/05/2023 , 18:45:00,313,313
72,23/05/2023 , 19:00:00,295,295
73,23/05/2023 , 19:15:00,187,187
74,23/05/2023 , 19:30:00,162,162
75,23/05/2023 , 19:45:00,108,108
76,23/05/2023 , 20:00:00,56,56
77,23/05/2023 , 20:15:00,37,37
78,23/05/2023 , 20:30:00,25,25
79,23/05/2023 , 20:45:00,15,15
80,23/05/2023 , 21:00:00,6,6
81,23/05/2023 , 21:15:00,1,1
82,23/05/2023 , 21:30:00,0,0
83,23/05/2023 , 21:45:00,0,0
84,23/05/2023 , 22:00:00,0,0
85,23/05/2023 , 22:15:00,0,0
86,23/05/2023 , 22:30:00,0,0
87,23/05/2023 , 22:45:00,0,0
88,23/05/2023 , 23:00:00,0,0
89,23/05/2023 , 23:15:00,0,0
90,23/05/2023 , 23:30:00,0,0
91,23/05/2023 , 23:45:00,0,0
92,23/05/2023 , 24:00:00,0,0
93,24/05/2023 , 00:15:00,0,0
94,24/05/2023 , 00:30:00,0,0
95,24/05/2023 , 00:45:00,0,0
96,24/05/2023 , 01:00:00,0,0
97,24/05/2023 , 01:15:00,0,0
98,24/05/2023 , 01:30:00,0,0
99,24/05/2023 , 01:45:00,0,0
100,24/05/2023 , 02:00:00,0,0
101,24/05/2023 , 02:15:00,0,0
102,24/05/2023 , 02:30:00,0,0
103,24/05/2023 , 02:45:00,0,0
104,24/05/2023 , 03:00:00,0,0
105,24/05/2023 , 03:15:00,0,0
106,24/05/2023 , 03:30:00,0,0
107,24/05/2023 , 03:45:00,0,0
108,24/05/2023 , 04:00:00,0,0
109,24/05/2023 , 04:15:00,0,0
110,24/05/2023 , 04:30:00,0,0
