"Plot Title: 21235771"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 21235771, SEN S/N: 21235771)","High Range, μS/cm (LGR S/N: 21235771, SEN S/N: 21235771)","Temp, °C (LGR S/N: 21235771, SEN S/N: 21235771)","Specific Conductance, μS/cm (LGR S/N: 21235771)","Salinity, ppt (LGR S/N: 21235771)"
74,05/23/23 07:15:00 PM,32765.2,30536.1,10.13,42477.5,27.2857
75,05/23/23 07:30:00 PM,32765.2,30684.3,10.05,42766.6,27.4925
76,05/23/23 07:45:00 PM,32765.2,30747.0,9.99,42917.0,27.6002
77,05/23/23 08:00:00 PM,32765.2,30896.6,9.86,43263.4,27.8485
78,05/23/23 08:15:00 PM,32765.2,30969.8,9.81,43418.9,27.9600
79,05/23/23 08:30:00 PM,32765.2,31045.2,9.74,43599.5,28.0897
80,05/23/23 08:45:00 PM,32765.2,31057.2,9.72,43638.0,28.1172
81,05/23/23 09:00:00 PM,32765.2,31009.5,9.77,43517.3,28.0307
82,05/23/23 09:15:00 PM,32765.2,30922.3,9.85,43309.8,27.8818
83,05/23/23 09:30:00 PM,32765.2,30944.1,9.86,43329.3,27.8958
84,05/23/23 09:45:00 PM,32765.2,30952.0,9.88,43318.8,27.8882
85,05/23/23 10:00:00 PM,32765.2,30867.0,9.93,43147.3,27.7652
86,05/23/23 10:15:00 PM,32765.2,30845.3,9.91,43138.6,27.7590
87,05/23/23 10:30:00 PM,32765.2,30837.5,9.90,43138.4,27.7589
88,05/23/23 10:45:00 PM,32765.2,30800.1,9.93,43054.5,27.6987
89,05/23/23 11:00:00 PM,32765.2,30690.2,9.95,42880.9,27.5744
90,05/23/23 11:15:00 PM,32765.2,30703.9,9.96,42889.2,27.5803
91,05/23/23 11:30:00 PM,32765.2,30610.1,10.05,42664.0,27.4191
92,05/23/23 11:45:00 PM,32765.2,30635.4,10.06,42688.4,27.4366
93,05/24/23 12:00:00 AM,32765.2,30543.8,10.10,42519.7,27.3159
94,05/24/23 12:15:00 AM,32288.2,29990.3,10.45,41396.0,26.5139
95,05/24/23 12:30:00 AM,31767.6,29641.5,10.82,40548.1,25.9110
96,05/24/23 12:45:00 AM,31876.1,29771.0,10.70,40843.8,26.1211
97,05/24/23 01:00:00 AM,32046.9,29880.3,10.61,41083.3,26.2914
98,05/24/23 01:15:00 AM,32046.9,29852.0,10.62,41034.6,26.2567
99,05/24/23 01:30:00 AM,32161.3,29895.5,10.62,41094.0,26.2990
100,05/24/23 01:45:00 AM,32106.4,29887.9,10.57,41134.1,26.3275
101,05/24/23 02:00:00 AM,32166.1,29914.4,10.49,41251.4,26.4110
102,05/24/23 02:15:00 AM,32449.5,30112.1,10.46,41552.6,26.6255
103,05/24/23 02:30:00 AM,32166.1,29978.9,10.47,41360.0,26.4883
104,05/24/23 02:45:00 AM,32106.4,29884.1,10.52,41179.5,26.3598
105,05/24/23 03:00:00 AM,32161.3,29906.8,10.54,41190.3,26.3675
106,05/24/23 03:15:00 AM,32161.3,29927.7,10.61,41148.0,26.3374
107,05/24/23 03:30:00 AM,32154.1,29895.5,10.61,41104.1,26.3061
108,05/24/23 03:45:00 AM,31930.5,29793.5,10.66,40914.6,26.1714
109,05/24/23 04:00:00 AM,31923.4,29774.7,10.67,40879.0,26.1461
110,05/24/23 04:15:00 AM,31819.4,29701.4,10.70,40749.1,26.0537
111,05/24/23 04:30:00 AM,31321.4,29414.3,10.79,40269.2,25.7131
112,05/24/23 04:45:00 AM,31109.1,29244.5,10.92,39911.2,25.4593
113,05/24/23 05:00:00 AM,29648.8,28335.7,11.18,38434.8,24.4165
114,05/24/23 05:15:00 AM,30036.8,28575.6,11.15,38786.3,24.6642
115,05/24/23 05:30:00 AM,29178.7,27995.2,11.17,37985.5,24.1002
116,05/24/23 05:45:00 AM,29505.6,28164.8,11.13,38251.3,24.2873
117,05/24/23 06:00:00 AM,29131.7,27953.4,11.18,37919.9,24.0541
118,05/24/23 06:15:00 AM,28946.7,27837.2,11.31,37643.9,23.8602
119,05/24/23 06:30:00 AM,29174.4,27944.7,11.25,37843.5,24.0005
120,05/24/23 06:45:00 AM,28855.8,27731.8,11.32,37493.2,23.7544
121,05/24/23 07:00:00 AM,25864.3,25263.8,11.71,33855.0,21.2188
122,05/24/23 07:15:00 AM,26119.0,25514.5,11.66,34230.3,21.4787
123,05/24/23 07:30:00 AM,26193.1,25567.8,11.63,34326.4,21.5453
124,05/24/23 07:45:00 AM,26229.3,25622.8,11.65,34383.0,21.5846
125,05/24/23 08:00:00 AM,26229.3,25616.5,11.67,34357.9,21.5672
126,05/24/23 08:15:00 AM,26081.1,25495.7,11.67,34196.9,21.4556
127,05/24/23 08:30:00 AM,26081.1,25478.5,11.67,34174.0,21.4397
128,05/24/23 08:45:00 AM,25933.9,25347.6,11.73,33950.1,21.2847
129,05/24/23 09:00:00 AM,26378.3,25756.8,11.70,34519.8,21.6794
130,05/24/23 09:15:00 AM,26644.1,26000.1,11.66,34877.6,21.9279
131,05/24/23 09:30:00 AM,26451.2,25837.6,11.73,34602.2,21.7366
132,05/24/23 09:45:00 AM,26797.5,26113.8,11.68,35012.1,22.0214
133,05/24/23 10:00:00 AM,26875.6,26141.2,11.71,35023.1,22.0290
134,05/24/23 10:15:00 AM,27434.8,26648.4,11.61,35784.9,22.5594
135,05/24/23 10:30:00 AM,27764.5,26894.6,11.56,36157.2,22.8191
136,05/24/23 10:45:00 AM,27641.4,26798.4,11.62,35976.3,22.6929
137,05/24/23 11:00:00 AM,27394.8,26579.5,11.72,35597.9,22.4290
138,05/24/23 11:15:00 AM,26603.5,25957.0,11.89,34626.6,21.7536
139,05/24/23 11:30:00 AM,26642.2,25985.7,11.96,34606.1,21.7393
140,05/24/23 11:45:00 AM,26296.0,25695.2,12.23,33999.5,21.3189
141,05/24/23 12:00:00 PM,27593.1,26785.2,11.94,35681.2,22.4871
142,05/24/23 12:15:00 PM,27347.0,26594.2,12.04,35343.0,22.2515
143,05/24/23 12:30:00 PM,26910.8,26237.9,12.23,34713.2,21.8137
144,05/24/23 12:45:00 PM,26830.7,26163.7,12.31,34549.1,21.6998
145,05/24/23 01:00:00 PM,27186.3,26430.8,12.22,34975.3,21.9957
146,05/24/23 01:15:00 PM,30484.4,28870.5,11.26,39078.8,24.8706
147,05/24/23 01:30:00 PM,30789.2,29092.4,11.20,39434.6,25.1220
148,05/24/23 01:45:00 PM,30734.8,29043.1,11.26,39310.7,25.0345
149,05/24/23 02:00:00 PM,30578.8,28952.1,11.40,39055.3,24.8540
150,05/24/23 02:15:00 PM,30633.0,28992.1,11.57,38947.9,24.7782
151,05/24/23 02:30:00 PM,30730.3,29041.2,11.71,38881.4,24.7313
152,05/24/23 02:45:00 PM,30578.8,28924.9,11.76,38680.0,24.5893
153,05/24/23 03:00:00 PM,30578.8,28933.9,11.81,38645.2,24.5648
154,05/24/23 03:15:00 PM,30585.6,28941.2,11.63,38823.5,24.6905
155,05/24/23 03:30:00 PM,30484.4,28924.9,11.81,38633.3,24.5564
156,05/24/23 03:45:00 PM,30477.6,28915.8,11.83,38602.6,24.5347
157,05/24/23 04:00:00 PM,30477.6,28899.5,11.94,38478.8,24.4475
158,05/24/23 04:15:00 PM,30484.4,28921.2,12.06,38396.4,24.3894
159,05/24/23 04:30:00 PM,30182.9,28749.6,12.12,38115.0,24.1914
160,05/24/23 04:45:00 PM,30136.3,28702.8,12.16,38016.8,24.1223
161,05/24/23 05:00:00 PM,29986.0,28604.2,12.32,37741.9,23.9291
162,05/24/23 05:15:00 PM,30036.8,28654.4,12.28,37844.0,24.0008
163,05/24/23 05:30:00 PM,29847.5,28566.7,12.32,37692.7,23.8945
