"Plot Title: 21742589"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 21742589, SEN S/N: 21742589)","High Range, μS/cm (LGR S/N: 21742589, SEN S/N: 21742589)","Temp, °C (LGR S/N: 21742589, SEN S/N: 21742589)","Specific Conductance, μS/cm (LGR S/N: 21742589)","Salinity, ppt (LGR S/N: 21742589)"
1,05/23/23 01:00:00 AM,31619.3,33730.9,9.69,47396.9,30.8346
2,05/23/23 01:15:00 AM,31680.9,33751.2,9.69,47425.2,30.8551
3,05/23/23 01:30:00 AM,31901.3,33743.6,9.68,47426.4,30.8560
4,05/23/23 01:45:00 AM,31680.9,33743.6,9.68,47426.4,30.8560
5,05/23/23 02:00:00 AM,31774.7,33756.3,9.69,47432.3,30.8603
6,05/23/23 02:15:00 AM,31901.3,33748.7,9.70,47409.9,30.8440
7,05/23/23 02:30:00 AM,31774.7,33756.3,9.69,47432.3,30.8603
8,05/23/23 02:45:00 AM,31807.0,33797.1,9.70,47477.3,30.8931
9,05/23/23 03:00:00 AM,31774.7,33764.0,9.71,47419.5,30.8510
10,05/23/23 03:15:00 AM,31868.9,33776.7,9.72,47425.4,30.8553
11,05/23/23 03:30:00 AM,31868.9,33797.1,9.75,47418.5,30.8502
12,05/23/23 03:45:00 AM,31868.9,33812.4,9.75,47439.7,30.8657
13,05/23/23 04:00:00 AM,31868.9,33825.1,9.77,47433.9,30.8615
14,05/23/23 04:15:00 AM,31833.9,33825.1,9.77,47433.9,30.8615
15,05/23/23 04:30:00 AM,31739.8,33804.7,9.77,47405.5,30.8408
16,05/23/23 04:45:00 AM,31868.9,33817.5,9.78,47411.5,30.8452
17,05/23/23 05:00:00 AM,31739.8,33817.5,9.77,47423.3,30.8538
18,05/23/23 05:15:00 AM,31963.4,33809.8,9.78,47400.8,30.8374
19,05/23/23 05:30:00 AM,31833.9,33804.7,9.77,47405.5,30.8408
20,05/23/23 05:45:00 AM,31833.9,33825.1,9.78,47422.1,30.8529
21,05/23/23 06:00:00 AM,31928.3,33830.3,9.78,47429.3,30.8582
22,05/23/23 06:15:00 AM,31833.9,33837.9,9.80,47416.4,30.8487
23,05/23/23 06:30:00 AM,31833.9,33817.5,9.80,47388.0,30.8281
24,05/23/23 06:45:00 AM,31833.9,33830.3,9.80,47405.8,30.8410
25,05/23/23 07:00:00 AM,31833.9,33825.1,9.81,47386.8,30.8272
26,05/23/23 07:15:00 AM,31739.8,33695.3,9.80,47218.2,30.7046
27,05/23/23 07:30:00 AM,31928.3,33843.0,9.81,47411.7,30.8453
28,05/23/23 07:45:00 AM,31928.3,33822.6,9.82,47371.6,30.8162
29,05/23/23 08:00:00 AM,31928.3,33850.7,9.81,47422.4,30.8531
30,05/23/23 08:15:00 AM,31833.9,33843.0,9.82,47400.0,30.8368
31,05/23/23 08:30:00 AM,31801.6,33843.0,9.83,47388.2,30.8282
32,05/23/23 08:45:00 AM,31928.3,33871.2,9.84,47415.6,30.8482
33,05/23/23 09:00:00 AM,31895.9,33858.4,9.84,47397.9,30.8353
34,05/23/23 09:15:00 AM,31895.9,33871.2,9.86,47392.1,30.8311
35,05/23/23 09:30:00 AM,31672.8,33541.2,9.88,46911.0,30.4813
36,05/23/23 09:45:00 AM,31860.8,33904.5,9.94,47344.5,30.7964
37,05/23/23 10:00:00 AM,31895.9,33937.8,10.00,47320.4,30.7789
38,05/23/23 10:15:00 AM,31990.5,33966.1,10.02,47336.1,30.7903
39,05/23/23 10:30:00 AM,32085.5,34007.3,10.10,47299.6,30.7637
40,05/23/23 10:45:00 AM,32052.9,34061.5,10.20,47257.7,30.7333
41,05/23/23 11:00:00 AM,32052.9,34061.5,10.29,47153.1,30.6572
42,05/23/23 11:15:00 AM,32017.6,34131.4,10.38,47144.7,30.6511
43,05/23/23 11:30:00 AM,32112.6,34110.6,10.44,47046.8,30.5800
44,05/23/23 11:45:00 AM,32175.3,34277.1,10.68,46997.6,30.5442
45,05/23/23 12:00:00 PM,32270.9,34290.2,10.71,46980.9,30.5321
46,05/23/23 12:15:00 PM,32270.9,34353.1,10.84,46917.3,30.4859
47,05/23/23 12:30:00 PM,32235.3,34324.2,10.83,46889.6,30.4657
48,05/23/23 12:45:00 PM,32235.3,34403.0,10.92,46893.4,30.4685
49,05/23/23 01:00:00 PM,32331.1,34429.3,11.01,46826.3,30.4198
50,05/23/23 01:15:00 PM,32331.1,34374.1,10.92,46854.3,30.4401
51,05/23/23 01:30:00 PM,32298.2,34421.4,11.04,46781.5,30.3872
52,05/23/23 01:45:00 PM,32490.6,34590.5,11.26,46759.3,30.3711
53,05/23/23 02:00:00 PM,32262.7,34442.4,11.17,46662.3,30.3007
54,05/23/23 02:15:00 PM,32358.5,34497.8,11.25,46646.2,30.2890
55,05/23/23 02:30:00 PM,32325.6,34468.8,11.27,46584.7,30.2444
56,05/23/23 02:45:00 PM,32325.6,34447.7,11.23,46601.6,30.2566
57,05/23/23 03:00:00 PM,32131.7,34238.0,11.05,46522.9,30.1995
