Site Name ,ODYLIGHT
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,5991


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

144,24/05/2023 , 13:00:00,3694,3694
145,24/05/2023 , 13:15:00,4057,4057
146,24/05/2023 , 13:30:00,3911,3911
147,24/05/2023 , 13:45:00,4418,4418
148,24/05/2023 , 14:00:00,4825,4825
149,24/05/2023 , 14:15:00,4548,4548
150,24/05/2023 , 14:30:00,4127,4127
151,24/05/2023 , 14:45:00,4449,4449
152,24/05/2023 , 15:00:00,4418,4418
153,24/05/2023 , 15:15:00,4068,4068
154,24/05/2023 , 15:30:00,3710,3710
155,24/05/2023 , 15:45:00,2454,2454
156,24/05/2023 , 16:00:00,2216,2216
157,24/05/2023 , 16:15:00,2259,2259
158,24/05/2023 , 16:30:00,2510,2510
159,24/05/2023 , 16:45:00,2353,2353
160,24/05/2023 , 17:00:00,1941,1941
161,24/05/2023 , 17:15:00,1863,1863
162,24/05/2023 , 17:30:00,1172,1172
163,24/05/2023 , 17:45:00,931,931
164,24/05/2023 , 18:00:00,751,751
165,24/05/2023 , 18:15:00,604,604
166,24/05/2023 , 18:30:00,510,510
167,24/05/2023 , 18:45:00,409,409
168,24/05/2023 , 19:00:00,304,304
169,24/05/2023 , 19:15:00,266,266
170,24/05/2023 , 19:30:00,192,192
171,24/05/2023 , 19:45:00,120,120
172,24/05/2023 , 20:00:00,75,75
173,24/05/2023 , 20:15:00,68,68
174,24/05/2023 , 20:30:00,62,62
175,24/05/2023 , 20:45:00,36,36
176,24/05/2023 , 21:00:00,8,8
177,24/05/2023 , 21:15:00,1,1
178,24/05/2023 , 21:30:00,0,0
179,24/05/2023 , 21:45:00,0,0
180,24/05/2023 , 22:00:00,0,0
181,24/05/2023 , 22:15:00,0,0
182,24/05/2023 , 22:30:00,0,0
183,24/05/2023 , 22:45:00,0,0
184,24/05/2023 , 23:00:00,0,0
185,24/05/2023 , 23:15:00,0,0
186,24/05/2023 , 23:30:00,0,0
187,24/05/2023 , 23:45:00,0,0
188,24/05/2023 , 24:00:00,0,0
189,25/05/2023 , 00:15:00,0,0
190,25/05/2023 , 00:30:00,0,0
191,25/05/2023 , 00:45:00,0,0
192,25/05/2023 , 01:00:00,0,0
193,25/05/2023 , 01:15:00,0,0
194,25/05/2023 , 01:30:00,0,0
195,25/05/2023 , 01:45:00,0,0
196,25/05/2023 , 02:00:00,0,0
197,25/05/2023 , 02:15:00,0,0
198,25/05/2023 , 02:30:00,0,0
199,25/05/2023 , 02:45:00,0,0
200,25/05/2023 , 03:00:00,0,0
201,25/05/2023 , 03:15:00,0,0
202,25/05/2023 , 03:30:00,0,0
203,25/05/2023 , 03:45:00,0,0
204,25/05/2023 , 04:00:00,0,0
205,25/05/2023 , 04:15:00,0,0
206,25/05/2023 , 04:30:00,0,0
207,25/05/2023 , 04:45:00,0,0
208,25/05/2023 , 05:00:00,0,0
209,25/05/2023 , 05:15:00,2,2
210,25/05/2023 , 05:30:00,11,11
211,25/05/2023 , 05:45:00,27,27
212,25/05/2023 , 06:00:00,53,53
213,25/05/2023 , 06:15:00,78,78
214,25/05/2023 , 06:30:00,104,104
215,25/05/2023 , 06:45:00,130,130
216,25/05/2023 , 07:00:00,152,152
217,25/05/2023 , 07:15:00,173,173
218,25/05/2023 , 07:30:00,194,194
219,25/05/2023 , 07:45:00,214,214
220,25/05/2023 , 08:00:00,239,239
221,25/05/2023 , 08:15:00,296,296
222,25/05/2023 , 08:30:00,381,381
223,25/05/2023 , 08:45:00,690,690
224,25/05/2023 , 09:00:00,1358,1358
225,25/05/2023 , 09:15:00,1190,1190
226,25/05/2023 , 09:30:00,1860,1860
227,25/05/2023 , 09:45:00,2045,2045
228,25/05/2023 , 10:00:00,2312,2312
229,25/05/2023 , 10:15:00,2553,2553
230,25/05/2023 , 10:30:00,2802,2802
231,25/05/2023 , 10:45:00,3028,3028
232,25/05/2023 , 11:00:00,3060,3060
233,25/05/2023 , 11:15:00,3415,3415
234,25/05/2023 , 11:30:00,3615,3615
235,25/05/2023 , 11:45:00,3777,3777
236,25/05/2023 , 12:00:00,4101,4101
237,25/05/2023 , 12:15:00,4308,4308
238,25/05/2023 , 12:30:00,4265,4265
239,25/05/2023 , 12:45:00,4705,4705
240,25/05/2023 , 13:00:00,4834,4834
241,25/05/2023 , 13:15:00,4872,4872
242,25/05/2023 , 13:30:00,4890,4890
243,25/05/2023 , 13:45:00,4901,4901
244,25/05/2023 , 14:00:00,4868,4868
245,25/05/2023 , 14:15:00,4892,4892
246,25/05/2023 , 14:30:00,4791,4791
