#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
138,05/24/2023 10:30:00,10.894,,,,
139,05/24/2023 10:45:00,10.819,,,,
140,05/24/2023 11:00:00,11.044,,,,
141,05/24/2023 11:15:00,11.012,,,,
142,05/24/2023 11:30:00,10.948,,,,
143,05/24/2023 11:45:00,11.409,,,,
144,05/24/2023 12:00:00,11.259,,,,
145,05/24/2023 12:15:00,11.162,,,,
146,05/24/2023 12:30:00,11.312,,,,
147,05/24/2023 12:45:00,11.334,,,,
148,05/24/2023 13:00:00,11.484,,,,
149,05/24/2023 13:15:00,11.419,,,,
150,05/24/2023 13:30:00,13.007,,,,
151,05/24/2023 13:45:00,12.771,,,,
152,05/24/2023 14:00:00,13.082,,,,
153,05/24/2023 14:15:00,13.682,,,,
154,05/24/2023 14:30:00,13.436,,,,
155,05/24/2023 14:45:00,13.286,,,,
156,05/24/2023 15:00:00,13.286,,,,
157,05/24/2023 15:15:00,12.267,,,,
158,05/24/2023 15:30:00,12.288,,,,
159,05/24/2023 15:45:00,12.610,,,,
160,05/24/2023 16:00:00,13.243,,,,
161,05/24/2023 16:15:00,13.607,,,,
162,05/24/2023 16:30:00,13.940,,,,
163,05/24/2023 16:45:00,13.983,,,,
164,05/24/2023 17:00:00,13.618,,,,
165,05/24/2023 17:15:00,13.554,,,,
166,05/24/2023 17:30:00,13.361,,,,
167,05/24/2023 17:45:00,13.050,,,,
168,05/24/2023 18:00:00,12.460,,,,
169,05/24/2023 18:15:00,12.224,,,,
170,05/24/2023 18:30:00,12.363,,,,
171,05/24/2023 18:45:00,12.471,,,,
172,05/24/2023 19:00:00,11.516,,,,
173,05/24/2023 19:15:00,10.401,,,,
174,05/24/2023 19:30:00,10.132,,,,
175,05/24/2023 19:45:00,10.068,,,,
176,05/24/2023 20:00:00,10.208,,,,
177,05/24/2023 20:15:00,10.529,,,,
178,05/24/2023 20:30:00,10.626,,,,
179,05/24/2023 20:45:00,11.977,,,,
180,05/24/2023 21:00:00,12.224,,,,
181,05/24/2023 21:15:00,11.527,,,,
182,05/24/2023 21:30:00,12.492,,,,
183,05/24/2023 21:45:00,11.194,,,,
184,05/24/2023 22:00:00,10.733,,,,
185,05/24/2023 22:15:00,10.604,,,,
186,05/24/2023 22:30:00,10.561,,,,
187,05/24/2023 22:45:00,10.540,,,,
188,05/24/2023 23:00:00,10.519,,,,
189,05/24/2023 23:15:00,10.443,,,,
190,05/24/2023 23:30:00,10.358,,,,
191,05/24/2023 23:45:00,10.347,,,,
192,05/25/2023 00:00:00,10.368,,,,
193,05/25/2023 00:15:00,10.422,,,,
194,05/25/2023 00:30:00,10.540,,,,
195,05/25/2023 00:45:00,10.433,,,,
196,05/25/2023 01:00:00,10.411,,,,
197,05/25/2023 01:15:00,10.422,,,,
198,05/25/2023 01:30:00,10.476,,,,
199,05/25/2023 01:45:00,10.508,,,,
200,05/25/2023 02:00:00,10.572,,,,
201,05/25/2023 02:15:00,10.754,,,,
202,05/25/2023 02:30:00,10.443,,,,
203,05/25/2023 02:45:00,10.368,,,,
204,05/25/2023 03:00:00,10.368,,,,
205,05/25/2023 03:15:00,10.508,,,,
206,05/25/2023 03:30:00,10.712,,,,
207,05/25/2023 03:45:00,10.765,,,,
208,05/25/2023 04:00:00,10.658,,,,
209,05/25/2023 04:15:00,10.443,,,,
210,05/25/2023 04:30:00,10.218,,,,
211,05/25/2023 04:45:00,10.132,,,,
212,05/25/2023 05:00:00,10.111,,,,
213,05/25/2023 05:15:00,10.261,,,,
214,05/25/2023 05:30:00,10.679,,,,
215,05/25/2023 05:45:00,10.765,,,,
216,05/25/2023 06:00:00,10.840,,,,
217,05/25/2023 06:15:00,10.851,,,,
218,05/25/2023 06:30:00,10.862,,,,
219,05/25/2023 06:45:00,11.044,,,,
220,05/25/2023 07:00:00,11.827,,,,
221,05/25/2023 07:15:00,12.631,,,,
222,05/25/2023 07:30:00,12.642,,,,
223,05/25/2023 07:45:00,12.696,,,,
224,05/25/2023 08:00:00,12.685,,,,
225,05/25/2023 08:15:00,12.739,,,,
226,05/25/2023 08:30:00,13.103,,,,
227,05/25/2023 08:45:00,13.361,,,,
228,05/25/2023 09:00:00,13.071,,,,
229,05/25/2023 09:15:00,12.975,,,,
230,05/25/2023 09:30:00,12.910,,,,
231,05/25/2023 09:45:00,12.835,,,,
232,05/25/2023 10:00:00,12.739,,,,
233,05/25/2023 10:15:00,12.674,,,,
234,05/25/2023 10:30:00,12.631,,,,
235,05/25/2023 10:45:00,12.664,,,,
236,05/25/2023 11:00:00,12.857,,,,
237,05/25/2023 11:15:00,13.007,,,,
238,05/25/2023 11:30:00,13.157,,,,
239,05/25/2023 11:45:00,13.264,,,,
240,05/25/2023 12:00:00,13.007,,,,
241,05/25/2023 12:15:00,13.296,,,,
242,05/25/2023 12:30:00,13.468,,,,
243,05/25/2023 12:45:00,13.017,,,,
244,05/25/2023 13:00:00,12.771,,,,
245,05/25/2023 13:15:00,11.966,,,,
246,05/25/2023 13:30:00,11.838,,,,
247,05/25/2023 13:45:00,13.554,,,,
248,05/25/2023 14:00:00,13.650,,,,
249,05/25/2023 14:15:00,13.640,,,,
250,05/25/2023 14:30:00,13.779,,,,
251,05/25/2023 14:45:00,14.015,,,,
252,05/25/2023 15:00:00,14.144,,,,
253,05/25/2023 15:15:00,14.884,,,,
254,05/25/2023 15:30:00,15.549,,,,
255,05/25/2023 15:45:00,15.388,,,,
256,05/25/2023 16:00:00,15.141,,,,
257,05/25/2023 16:15:00,14.809,,,,
258,05/25/2023 16:30:00,14.626,,,,
259,05/25/2023 16:45:00,14.562,,,,
260,05/25/2023 17:00:00,14.197,,,,
261,05/25/2023 17:15:00,13.522,,,,
262,05/25/2023 17:30:00,13.511,,,,
263,05/25/2023 17:45:00,13.522,,,,
264,05/25/2023 18:00:00,13.597,,,,
265,05/25/2023 18:15:00,13.457,,,,
