Site Name ,6010-ZM
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6010


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

143,24/05/2023 , 12:45:00,7140,7140
144,24/05/2023 , 13:00:00,7291,7291
145,24/05/2023 , 13:15:00,7134,7134
146,24/05/2023 , 13:30:00,7243,7243
147,24/05/2023 , 13:45:00,8190,8190
148,24/05/2023 , 14:00:00,8309,8309
149,24/05/2023 , 14:15:00,8220,8220
150,24/05/2023 , 14:30:00,5868,5868
151,24/05/2023 , 14:45:00,4089,4089
152,24/05/2023 , 15:00:00,7613,7613
153,24/05/2023 , 15:15:00,7365,7365
154,24/05/2023 , 15:30:00,6542,6542
155,24/05/2023 , 15:45:00,5102,5102
156,24/05/2023 , 16:00:00,4894,4894
157,24/05/2023 , 16:15:00,4083,4083
158,24/05/2023 , 16:30:00,4332,4332
159,24/05/2023 , 16:45:00,4240,4240
160,24/05/2023 , 17:00:00,3778,3778
161,24/05/2023 , 17:15:00,3528,3528
162,24/05/2023 , 17:30:00,3098,3098
163,24/05/2023 , 17:45:00,2523,2523
164,24/05/2023 , 18:00:00,2193,2193
165,24/05/2023 , 18:15:00,1044,1044
166,24/05/2023 , 18:30:00,291,291
167,24/05/2023 , 18:45:00,279,279
168,24/05/2023 , 19:00:00,343,343
169,24/05/2023 , 19:15:00,276,276
170,24/05/2023 , 19:30:00,191,191
171,24/05/2023 , 19:45:00,143,143
172,24/05/2023 , 20:00:00,110,110
173,24/05/2023 , 20:15:00,107,107
174,24/05/2023 , 20:30:00,76,76
175,24/05/2023 , 20:45:00,40,40
176,24/05/2023 , 21:00:00,16,16
177,24/05/2023 , 21:15:00,3,3
178,24/05/2023 , 21:30:00,0,0
179,24/05/2023 , 21:45:00,0,0
180,24/05/2023 , 22:00:00,0,0
181,24/05/2023 , 22:15:00,0,0
182,24/05/2023 , 22:30:00,0,0
183,24/05/2023 , 22:45:00,0,0
184,24/05/2023 , 23:00:00,0,0
185,24/05/2023 , 23:15:00,0,0
186,24/05/2023 , 23:30:00,0,0
187,24/05/2023 , 23:45:00,0,0
188,24/05/2023 , 24:00:00,0,0
189,25/05/2023 , 00:15:00,0,0
190,25/05/2023 , 00:30:00,0,0
191,25/05/2023 , 00:45:00,0,0
192,25/05/2023 , 01:00:00,0,0
193,25/05/2023 , 01:15:00,0,0
