"Plot Title: 21742590"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 21742590, SEN S/N: 21742590)","High Range, μS/cm (LGR S/N: 21742590, SEN S/N: 21742590)","Temp, °F (LGR S/N: 21742590, SEN S/N: 21742590)","Specific Conductance, μS/cm (LGR S/N: 21742590)","Salinity, ppt (LGR S/N: 21742590)","Coupler Detached (LGR S/N: 21742590)","Coupler Attached (LGR S/N: 21742590)","Host Connected (LGR S/N: 21742590)","Stopped (LGR S/N: 21742590)","End Of File (LGR S/N: 21742590)"
77,05/23/23 08:00:00 PM,29569.6,32803.8,49.71,,,,,,,
78,05/23/23 08:15:00 PM,29407.5,32778.5,49.68,,,,,,,
79,05/23/23 08:30:00 PM,29496.7,32786.1,49.69,,,,,,,
80,05/23/23 08:45:00 PM,29496.7,32765.8,49.71,,,,,,,
81,05/23/23 09:00:00 PM,29407.5,32760.7,49.66,,,,,,,
82,05/23/23 09:15:00 PM,29407.5,32722.8,49.66,,,,,,,
83,05/23/23 09:30:00 PM,29480.2,32717.8,49.59,,,,,,,
84,05/23/23 09:45:00 PM,29321.0,32680.0,49.51,,,,,,,
85,05/23/23 10:00:00 PM,29407.5,32687.5,49.53,,,,,,,
86,05/23/23 10:15:00 PM,29407.5,32722.8,49.51,,,,,,,
87,05/23/23 10:30:00 PM,29321.0,32697.6,49.53,,,,,,,
88,05/23/23 10:45:00 PM,29321.0,32712.7,49.53,,,,,,,
89,05/23/23 11:00:00 PM,29407.5,32697.6,49.53,46867.4,30.4496,,,,,
90,05/23/23 11:15:00 PM,29391.2,32705.2,49.53,46879.9,30.4587,,,,,
91,05/23/23 11:30:00 PM,29321.0,32662.3,49.57,46797.4,30.3988,,,,,
92,05/23/23 11:45:00 PM,29480.2,32700.1,49.57,46852.9,30.4390,,,,,
93,05/24/23 12:00:00 AM,29480.2,32730.4,49.53,46920.9,30.4885,,,,,
94,05/24/23 12:15:00 AM,29407.5,32682.5,49.53,46854.6,30.4403,,,,,
95,05/24/23 12:30:00 AM,29391.2,32712.7,49.53,46899.3,30.4727,,,,,
96,05/24/23 12:45:00 AM,29391.2,32695.1,49.53,46876.0,30.4558,,,,,
97,05/24/23 01:00:00 AM,29480.2,32672.4,49.53,46845.4,30.4336,,,,,
98,05/24/23 01:15:00 AM,29391.2,32705.2,49.53,46893.8,30.4688,,,,,
99,05/24/23 01:30:00 AM,29407.5,32712.7,49.53,46906.2,30.4778,,,,,
100,05/24/23 01:45:00 AM,29480.2,32697.6,49.51,46898.1,30.4719,,,,,
101,05/24/23 02:00:00 AM,29480.2,32687.5,49.50,46897.1,30.4712,,,,,
102,05/24/23 02:15:00 AM,29321.0,32637.2,49.37,46908.9,30.4797,,,,,
103,05/24/23 02:30:00 AM,29321.0,32644.7,49.37,46921.3,30.4887,,,,,
104,05/24/23 02:45:00 AM,29248.8,32614.6,49.37,46880.1,30.4588,,,,,
105,05/24/23 03:00:00 AM,29232.5,32627.1,49.33,46923.0,30.4900,,,,,
106,05/24/23 03:15:00 AM,29321.0,32627.1,49.37,46901.4,30.4743,,,,,
107,05/24/23 03:30:00 AM,29407.5,32627.1,49.37,46903.2,30.4756,,,,,
108,05/24/23 03:45:00 AM,29391.2,32622.1,49.39,46886.1,30.4632,,,,,
109,05/24/23 04:00:00 AM,29321.0,32609.6,49.39,46870.0,30.4515,,,,,
110,05/24/23 04:15:00 AM,29391.2,32632.2,49.39,46904.0,30.4762,,,,,
111,05/24/23 04:30:00 AM,29321.0,32632.2,49.37,46917.4,30.4859,,,,,
112,05/24/23 04:45:00 AM,29302.4,32614.6,49.28,46952.4,30.5113,,,,,
113,05/24/23 05:00:00 AM,29232.5,32579.5,49.23,46939.1,30.5017,,,,,
114,05/24/23 05:15:00 AM,29302.4,32597.0,49.23,46965.8,30.5211,,,,,
115,05/24/23 05:30:00 AM,29302.4,32604.6,49.23,46978.4,30.5302,,,,,
116,05/24/23 05:45:00 AM,29302.4,32584.5,49.23,46951.4,30.5106,,,,,
117,05/24/23 06:00:00 AM,29302.4,32592.0,49.24,46952.2,30.5112,,,,,
118,05/24/23 06:15:00 AM,29302.4,32582.0,49.24,46939.6,30.5021,,,,,
119,05/24/23 06:30:00 AM,29302.4,32567.0,49.28,46896.6,30.4708,,,,,
120,05/24/23 06:45:00 AM,29283.7,32599.6,49.28,46944.9,30.5059,,,,,
121,05/24/23 07:00:00 AM,29283.7,32604.6,49.30,46942.1,30.5038,,,,,
122,05/24/23 07:15:00 AM,29356.1,32617.1,49.32,46950.0,30.5096,,,,,
123,05/24/23 07:30:00 AM,29283.7,32642.2,49.33,46975.8,30.5284,,,,,
124,05/24/23 07:45:00 AM,29356.1,32654.8,49.39,46960.5,30.5172,,,,,
125,05/24/23 08:00:00 AM,29197.6,32649.8,49.37,46966.8,30.5218,,,,,
126,05/24/23 08:15:00 AM,29356.1,32654.8,49.41,46952.3,30.5113,,,,,
127,05/24/23 08:30:00 AM,29267.4,32589.5,49.48,46814.4,30.4111,,,,,
128,05/24/23 08:45:00 AM,29267.4,32562.0,49.53,46742.1,30.3586,,,,,
129,05/24/23 09:00:00 AM,29179.0,32532.0,49.59,46666.3,30.3036,,,,,
130,05/24/23 09:15:00 AM,29251.1,32532.0,49.66,46621.7,30.2712,,,,,
131,05/24/23 09:30:00 AM,29251.1,32519.5,49.71,46571.0,30.2344,,,,,
132,05/24/23 09:45:00 AM,29251.1,32539.5,49.78,46555.0,30.2228,,,,,
133,05/24/23 10:00:00 AM,29321.0,32534.5,49.80,46538.1,30.2105,,,,,
134,05/24/23 10:15:00 AM,29232.5,32522.0,49.89,46464.5,30.1571,,,,,
135,05/24/23 10:30:00 AM,29146.6,32464.7,49.93,46362.0,30.0828,,,,,
136,05/24/23 10:45:00 AM,29128.0,32459.8,49.98,46322.4,30.0541,,,,,
137,05/24/23 11:00:00 AM,29197.6,32527.0,50.14,46316.0,30.0495,,,,,
138,05/24/23 11:15:00 AM,29197.6,32494.6,50.16,46260.6,30.0093,,,,,
139,05/24/23 11:30:00 AM,29267.4,32499.6,50.23,46223.6,29.9825,,,,,
140,05/24/23 11:45:00 AM,29181.4,32454.8,50.18,46196.4,29.9628,,,,,
141,05/24/23 12:00:00 PM,29162.8,32432.4,50.16,46177.9,29.9493,,,,,
142,05/24/23 12:15:00 PM,29077.1,32434.9,50.25,46126.1,29.9118,,,,,
143,05/24/23 12:30:00 PM,29232.5,32452.3,50.27,46141.0,29.9226,,,,,
144,05/24/23 12:45:00 PM,29216.2,32377.9,50.14,46117.4,29.9055,,,,,
145,05/24/23 01:00:00 PM,29199.9,32442.4,50.31,46107.6,29.8985,,,,,
146,05/24/23 01:15:00 PM,29111.8,32439.9,50.32,46094.4,29.8889,,,,,
147,05/24/23 01:30:00 PM,29095.6,32425.0,50.34,46063.8,29.8667,,,,,
148,05/24/23 01:45:00 PM,29148.9,32479.7,50.49,46051.7,29.8579,,,,,
149,05/24/23 02:00:00 PM,29079.4,32350.8,50.52,45849.5,29.7115,,,,,
150,05/24/23 02:15:00 PM,29130.3,32477.2,50.54,46017.5,29.8332,,,,,
151,05/24/23 02:30:00 PM,29114.1,32492.1,50.54,46040.2,29.8496,,,,,
152,05/24/23 02:45:00 PM,29183.7,32549.5,50.70,46020.5,29.8354,,,,,
153,05/24/23 03:00:00 PM,29253.4,32554.5,50.70,46029.2,29.8417,,,,,
154,05/24/23 03:15:00 PM,29167.4,32479.7,50.59,45993.9,29.8161,,,,,
155,05/24/23 03:30:00 PM,29081.7,32487.1,50.56,46028.6,29.8412,,,,,
156,05/24/23 03:45:00 PM,29202.3,32587.0,50.88,45966.8,29.7965,,,,,
157,05/24/23 04:00:00 PM,29342.1,32712.7,51.26,45907.5,29.7536,,,,,
158,05/24/23 04:15:00 PM,29323.4,32720.3,51.33,45874.9,29.7300,,,,,
159,05/24/23 04:30:00 PM,29307.0,32722.8,51.39,45846.4,29.7093,,,,,
160,05/24/23 04:45:00 PM,29307.0,32705.2,51.24,45913.4,29.7578,,,,,
161,05/24/23 05:00:00 PM,29290.7,32594.5,51.62,45526.7,29.4781,,,,,
162,05/24/23 05:15:00 PM,29204.6,32517.0,51.64,45409.9,29.3936,,,,,
163,05/24/23 05:30:00 PM,29188.3,32512.1,51.58,45438.0,29.4140,,,,,
164,05/24/23 05:45:00 PM,29188.3,32432.4,51.37,45462.2,29.4315,,,,,
165,05/24/23 06:00:00 PM,29033.2,32284.2,51.15,45390.9,29.3799,,,,,
166,05/24/23 06:15:00 PM,29033.2,32353.2,51.01,45578.1,29.5153,,,,,
167,05/24/23 06:30:00 PM,29102.5,32390.3,51.17,45531.1,29.4813,,,,,
168,05/24/23 06:45:00 PM,28950.2,32365.6,51.10,45543.0,29.4898,,,,,
169,05/24/23 07:00:00 PM,28950.2,32326.1,50.95,45578.8,29.5158,,,,,
170,05/24/23 07:15:00 PM,28950.2,32338.4,51.10,45508.4,29.4648,,,,,
171,05/24/23 07:30:00 PM,29017.0,32363.1,51.12,45533.4,29.4829,,,,,
172,05/24/23 07:45:00 PM,28950.2,32355.7,51.10,45535.9,29.4847,,,,,
173,05/24/23 08:00:00 PM,29169.8,32514.5,51.33,45613.9,29.5411,,,,,
174,05/24/23 08:15:00 PM,29169.8,32512.1,51.26,45656.9,29.5722,,,,,
175,05/24/23 08:30:00 PM,29102.5,32425.0,50.99,45704.9,29.6069,,,,,
176,05/24/23 08:45:00 PM,29033.2,32360.6,50.97,45627.7,29.5511,,,,,
177,05/24/23 09:00:00 PM,28881.2,32328.5,50.68,45764.0,29.6497,,,,,
178,05/24/23 09:15:00 PM,28814.7,32240.0,50.41,45810.4,29.6832,,,,,
179,05/24/23 09:30:00 PM,28830.7,32262.1,50.18,45990.5,29.8136,,,,,
180,05/24/23 09:45:00 PM,28897.3,32232.6,50.05,46030.1,29.8423,,,,,
181,05/24/23 10:00:00 PM,28746.1,32181.2,49.95,46027.3,29.8403,,,,,
182,05/24/23 10:15:00 PM,28830.7,32183.7,49.71,46181.1,29.9517,,,,,
183,05/24/23 10:30:00 PM,28762.1,32200.8,49.71,46207.1,29.9705,,,,,
184,05/24/23 10:45:00 PM,28897.3,32200.8,49.77,46174.4,29.9469,,,,,
185,05/24/23 11:00:00 PM,28762.1,32217.9,49.77,46200.5,29.9657,,,,,
186,05/24/23 11:15:00 PM,28746.1,32217.9,49.71,46236.6,29.9919,,,,,
187,05/24/23 11:30:00 PM,28762.1,32213.0,49.60,46300.2,30.0380,,,,,
188,05/24/23 11:45:00 PM,28746.1,32257.2,49.59,46376.4,30.0933,,,,,
189,05/25/23 12:00:00 AM,28830.7,32200.8,49.53,46332.2,30.0612,,,,,
190,05/25/23 12:15:00 AM,28746.1,32213.0,49.53,46351.3,30.0751,,,,,
191,05/25/23 12:30:00 AM,28830.7,32213.0,49.51,46364.6,30.0847,,,,,
192,05/25/23 12:45:00 AM,28746.1,32230.2,49.53,46379.3,30.0954,,,,,
193,05/25/23 01:00:00 AM,28830.7,32264.5,49.53,46430.0,30.1321,,,,,
194,05/25/23 01:15:00 AM,28830.7,32269.5,49.53,46438.8,30.1385,,,,,
195,05/25/23 01:30:00 AM,28830.7,32274.4,49.57,46424.4,30.1281,,,,,
196,05/25/23 01:45:00 AM,28762.1,32269.5,49.57,46419.2,30.1243,,,,,
197,05/25/23 02:00:00 AM,28846.8,32286.7,49.53,46468.5,30.1600,,,,,
198,05/25/23 02:15:00 AM,28830.7,32286.7,49.57,46447.1,30.1445,,,,,
199,05/25/23 02:30:00 AM,28913.4,32286.7,49.57,46448.8,30.1458,,,,,
200,05/25/23 02:45:00 AM,28846.8,32291.6,49.57,46457.5,30.1521,,,,,
201,05/25/23 03:00:00 AM,28846.8,32291.6,49.57,46459.3,30.1533,,,,,
202,05/25/23 03:15:00 AM,28846.8,32279.3,49.57,46443.4,30.1419,,,,,
203,05/25/23 03:30:00 AM,28862.8,32313.8,49.57,46494.4,30.1788,,,,,
204,05/25/23 03:45:00 AM,28862.8,32289.1,49.57,46460.8,30.1545,,,,,
205,05/25/23 04:00:00 AM,28913.4,32279.3,49.57,46448.6,30.1456,,,,,
206,05/25/23 04:15:00 AM,28778.1,32279.3,49.57,46450.3,30.1468,,,,,
207,05/25/23 04:30:00 AM,28830.7,32257.2,49.53,46443.5,30.1419,,,,,
208,05/25/23 04:45:00 AM,28846.8,32284.2,49.53,46483.8,30.1711,,,,,
209,05/25/23 05:00:00 AM,28762.1,32284.2,49.53,46485.5,30.1724,,,,,
210,05/25/23 05:15:00 AM,28830.7,32284.2,49.53,46487.2,30.1736,,,,,
211,05/25/23 05:30:00 AM,28846.8,32284.2,49.57,46465.8,30.1581,,,,,
212,05/25/23 05:45:00 AM,28762.1,32284.2,49.57,46467.5,30.1594,,,,,
213,05/25/23 06:00:00 AM,28762.1,32267.0,49.57,46444.7,30.1428,,,,,
214,05/25/23 06:15:00 AM,28762.1,32249.8,49.59,46410.3,30.1179,,,,,
215,05/25/23 06:30:00 AM,28762.1,32186.1,49.62,46298.2,30.0365,,,,,
216,05/25/23 06:45:00 AM,28830.7,32205.7,49.71,46270.4,30.0164,,,,,
217,05/25/23 07:00:00 AM,28746.1,32247.4,49.75,46308.5,30.0440,,,,,
218,05/25/23 07:15:00 AM,28746.1,32217.9,49.77,46256.7,30.0065,,,,,
219,05/25/23 07:30:00 AM,28830.7,32249.8,49.75,46315.3,30.0490,,,,,
220,05/25/23 07:45:00 AM,28814.7,32242.4,49.77,46295.0,30.0343,,,,,
221,05/25/23 08:00:00 AM,28746.1,32259.6,49.77,46321.2,30.0533,,,,,
222,05/25/23 08:15:00 AM,28814.7,32284.2,49.78,46346.5,30.0716,,,,,
223,05/25/23 08:30:00 AM,28814.7,32254.7,49.80,46294.7,30.0340,,,,,
224,05/25/23 08:45:00 AM,28664.0,32103.2,49.84,46057.9,29.8625,,,,,
225,05/25/23 09:00:00 AM,28830.7,32303.9,49.93,46287.8,30.0290,,,,,
226,05/25/23 09:15:00 AM,28814.7,32316.2,49.93,46307.0,30.0429,,,,,
227,05/25/23 09:30:00 AM,28814.7,32303.9,49.93,46291.2,30.0315,,,,,
228,05/25/23 09:45:00 AM,28798.7,32299.0,49.96,46263.1,30.0111,,,,,
229,05/25/23 10:00:00 AM,28966.3,32323.6,50.02,46265.3,30.0127,,,,,
230,05/25/23 10:15:00 AM,28865.1,32345.8,50.07,46264.2,30.0119,,,,,
231,05/25/23 10:30:00 AM,28849.1,32343.3,50.23,46159.6,29.9361,,,,,
232,05/25/23 10:45:00 AM,28849.1,32363.1,50.36,46109.6,29.8999,,,,,
233,05/25/23 11:00:00 AM,28918.0,32333.5,50.43,46024.1,29.8379,,,,,
234,05/25/23 11:15:00 AM,29000.9,32338.4,50.54,45964.7,29.7949,,,,,
235,05/25/23 11:30:00 AM,28766.7,32230.2,50.54,45813.8,29.6857,,,,,
236,05/25/23 11:45:00 AM,28766.7,32193.4,50.54,45763.6,29.6494,,,,,
237,05/25/23 12:00:00 PM,28734.7,32210.6,50.59,45755.7,29.6437,,,,,
238,05/25/23 12:15:00 PM,28750.7,32149.5,50.61,45660.1,29.5745,,,,,
239,05/25/23 12:30:00 PM,28750.7,32195.9,50.68,45682.1,29.5905,,,,,
240,05/25/23 12:45:00 PM,28801.0,32222.8,50.86,45609.4,29.5379,,,,,
241,05/25/23 01:00:00 PM,28787.2,32252.3,50.97,45585.3,29.5205,,,,,
242,05/25/23 01:15:00 PM,28853.7,32289.1,51.06,45582.7,29.5185,,,,,
243,05/25/23 01:30:00 PM,28771.2,32284.2,51.17,45510.5,29.4664,,,,,
244,05/25/23 01:45:00 PM,28904.2,32328.5,51.28,45507.2,29.4640,,,,,
245,05/25/23 02:00:00 PM,28888.1,32291.6,51.24,45479.6,29.4440,,,,,
246,05/25/23 02:15:00 PM,28888.1,32338.4,51.30,45513.3,29.4684,,,,,
247,05/25/23 02:30:00 PM,28872.0,32422.5,51.48,45521.0,29.4739,,,,,
248,05/25/23 02:45:00 PM,29007.8,32509.6,51.71,45499.4,29.4583,,,,,
249,05/25/23 03:00:00 PM,28924.9,32395.3,51.37,45553.2,29.4972,,,,,
250,05/25/23 03:15:00 PM,28773.5,32257.2,51.10,45529.1,29.4798,,,,,
251,05/25/23 03:30:00 PM,28625.3,32164.1,50.92,45511.9,29.4674,,,,,
252,05/25/23 03:45:00 PM,28691.3,32159.2,50.88,45529.0,29.4798,,,,,
253,05/25/23 04:00:00 PM,28595.7,32166.6,50.83,45574.7,29.5128,,,,,
254,05/25/23 04:15:00 PM,28595.7,32151.9,50.92,45499.8,29.4586,,,,,
255,05/25/23 04:30:00 PM,28595.7,32161.7,51.03,45448.3,29.4214,,,,,
256,05/25/23 04:45:00 PM,28711.8,32333.5,51.53,45378.8,29.3711,,,,,
257,05/25/23 05:00:00 PM,28711.8,32306.4,51.39,45431.4,29.4092,,,,,
258,05/25/23 05:15:00 PM,28844.5,32368.0,51.67,45341.5,29.3442,,,,,
259,05/25/23 05:30:00 PM,28964.0,32554.5,52.27,45237.8,29.2694,,,,,
260,05/25/23 05:45:00 PM,29167.4,32773.4,52.84,45190.1,29.2349,,,,,
261,05/25/23 06:00:00 PM,29388.8,32875.0,53.17,45134.6,29.1948,,,,,
262,05/25/23 06:15:00 PM,29302.4,32954.2,53.31,45157.2,29.2111,,,,,
263,05/25/23 06:30:00 PM,29440.3,33069.8,53.60,45142.4,29.2004,,,,,
264,05/25/23 06:45:00 PM,29527.2,33090.4,53.62,45161.2,29.2140,,,,,
265,05/25/23 07:00:00 PM,29372.4,32862.3,53.11,45156.5,29.2106,,,,,
266,05/25/23 07:15:00 PM,29234.8,32773.4,52.84,45200.1,29.2421,,,,,
267,05/25/23 07:30:00 PM,29151.2,32717.8,52.61,45267.6,29.2909,,,,,
268,05/25/23 07:45:00 PM,28931.8,32479.7,52.11,45248.4,29.2770,,,,,
269,05/25/23 08:00:00 PM,28520.9,32100.7,50.81,45520.0,29.4732,,,,,
270,05/25/23 08:15:00 PM,28455.3,31989.2,50.50,45555.1,29.4986,,,,,
271,05/25/23 08:30:00 PM,28374.1,31955.4,50.43,45553.9,29.4977,,,,,
272,05/25/23 08:45:00 PM,28455.3,31977.1,50.45,45575.0,29.5130,,,,,
273,05/25/23 09:00:00 PM,28439.5,31972.3,50.45,45569.9,29.5093,,,,,
274,05/25/23 09:15:00 PM,28520.9,32018.2,50.59,45546.6,29.4924,,,,,
275,05/25/23 09:30:00 PM,28732.4,32205.7,51.10,45498.8,29.4579,,,,,
276,05/25/23 09:45:00 PM,28798.7,32328.5,51.51,45416.3,29.3983,,,,,
277,05/25/23 10:00:00 PM,28798.7,32360.6,51.62,45396.2,29.3837,,,,,
278,05/25/23 10:15:00 PM,28374.1,31991.6,49.89,45956.3,29.7889,,,,,
279,05/25/23 10:30:00 PM,28311.1,32025.5,49.86,46029.1,29.8416,,,,,
280,05/25/23 10:45:00 PM,28389.9,32008.6,49.80,46040.9,29.8501,,,,,
281,05/25/23 11:00:00 PM,28455.3,32025.5,49.77,46089.6,29.8854,,,,,
282,05/25/23 11:15:00 PM,28374.1,32008.6,49.78,46055.7,29.8609,,,,,
283,05/25/23 11:30:00 PM,28455.3,32030.3,49.78,46088.4,29.8845,,,,,
284,05/25/23 11:45:00 PM,28455.3,32025.5,49.78,46083.2,29.8808,,,,,
285,05/26/23 12:00:00 AM,28389.9,32013.4,49.77,46079.1,29.8778,,,,,
286,05/26/23 12:15:00 AM,28389.9,32025.5,49.77,46098.0,29.8915,,,,,
287,05/26/23 12:30:00 AM,28311.1,32015.8,49.69,46131.6,29.9159,,,,,
288,05/26/23 12:45:00 AM,28455.3,32020.7,49.68,46151.8,29.9305,,,,,
289,05/26/23 01:00:00 AM,28389.9,32042.5,49.68,46184.7,29.9543,,,,,
290,05/26/23 01:15:00 AM,28374.1,32025.5,49.68,46162.1,29.9379,,,,,
291,05/26/23 01:30:00 AM,28389.9,32042.5,49.68,46188.0,29.9567,,,,,
292,05/26/23 01:45:00 AM,28455.3,32047.3,49.69,46185.1,29.9546,,,,,
293,05/26/23 02:00:00 AM,28455.3,32032.8,49.68,46177.6,29.9491,,,,,
294,05/26/23 02:15:00 AM,28374.1,32042.5,49.66,46204.6,29.9687,,,,,
295,05/26/23 02:30:00 AM,28311.1,32049.7,49.66,46216.6,29.9774,,,,,
296,05/26/23 02:45:00 AM,28455.3,32069.2,49.66,46246.2,29.9989,,,,,
297,05/26/23 03:00:00 AM,28374.1,32032.8,49.66,46195.8,29.9624,,,,,
298,05/26/23 03:15:00 AM,28389.9,32042.5,49.66,46211.4,29.9737,,,,,
299,05/26/23 03:30:00 AM,28389.9,32052.2,49.66,46227.0,29.9849,,,,,
300,05/26/23 03:45:00 AM,28389.9,32025.5,49.66,46190.5,29.9585,,,,,
301,05/26/23 04:00:00 AM,28311.1,32015.8,49.62,46201.2,29.9663,,,,,
302,05/26/23 04:15:00 AM,28455.3,32035.2,49.62,46230.7,29.9876,,,,,
303,05/26/23 04:30:00 AM,28389.9,32052.2,49.62,46256.7,30.0065,,,,,
304,05/26/23 04:45:00 AM,28455.3,32032.8,49.62,46230.7,29.9876,,,,,
305,05/26/23 05:00:00 AM,28374.1,32035.2,49.62,46235.8,29.9913,,,,,
306,05/26/23 05:15:00 AM,28389.9,32052.2,49.66,46238.9,29.9936,,,,,
307,05/26/23 05:30:00 AM,28389.9,32020.7,49.66,46195.5,29.9621,,,,,
