"Plot Title: 21467039"
"#","Date Time, GMT-07:00","Abs Pres, kPa (LGR S/N: 21467039, SEN S/N: 21467039)","Temp, °C (LGR S/N: 21467039, SEN S/N: 21467039)"
1,05/23/23 01:00:00 AM,145.339,9.275
2,05/23/23 01:15:00 AM,144.937,9.275
3,05/23/23 01:30:00 AM,144.485,9.275
4,05/23/23 01:45:00 AM,144.116,9.275
5,05/23/23 02:00:00 AM,143.751,9.373
6,05/23/23 02:15:00 AM,143.468,9.965
7,05/23/23 02:30:00 AM,143.270,10.063
8,05/23/23 02:45:00 AM,142.974,10.259
9,05/23/23 03:00:00 AM,142.732,10.553
10,05/23/23 03:15:00 AM,142.685,10.651
11,05/23/23 03:30:00 AM,142.741,10.846
12,05/23/23 03:45:00 AM,142.775,10.846
13,05/23/23 04:00:00 AM,142.825,10.846
14,05/23/23 04:15:00 AM,142.859,10.846
15,05/23/23 04:30:00 AM,142.939,10.748
16,05/23/23 04:45:00 AM,143.093,10.846
17,05/23/23 05:00:00 AM,143.057,11.819
18,05/23/23 05:15:00 AM,143.267,12.110
19,05/23/23 05:30:00 AM,143.236,12.207
20,05/23/23 05:45:00 AM,143.409,11.819
21,05/23/23 06:00:00 AM,142.918,12.207
22,05/23/23 06:15:00 AM,143.172,12.304
23,05/23/23 06:30:00 AM,142.977,12.497
24,05/23/23 06:45:00 AM,142.779,12.594
25,05/23/23 07:00:00 AM,142.488,12.401
26,05/23/23 07:15:00 AM,142.211,12.110
27,05/23/23 07:30:00 AM,141.719,11.916
28,05/23/23 07:45:00 AM,141.149,11.916
29,05/23/23 08:00:00 AM,140.687,11.625
30,05/23/23 08:15:00 AM,139.980,11.528
31,05/23/23 08:30:00 AM,139.137,11.916
32,05/23/23 08:45:00 AM,138.268,12.013
33,05/23/23 09:00:00 AM,137.299,12.110
34,05/23/23 09:15:00 AM,136.332,12.304
35,05/23/23 09:30:00 AM,135.200,12.594
36,05/23/23 09:45:00 AM,133.953,12.980
37,05/23/23 10:00:00 AM,132.829,12.980
38,05/23/23 10:15:00 AM,131.517,12.883
39,05/23/23 10:30:00 AM,130.166,12.594
40,05/23/23 10:45:00 AM,128.837,12.497
41,05/23/23 11:00:00 AM,127.478,12.497
42,05/23/23 11:15:00 AM,126.451,12.401
43,05/23/23 11:30:00 AM,125.128,11.916
44,05/23/23 11:45:00 AM,123.785,11.916
45,05/23/23 12:00:00 PM,122.634,12.207
46,05/23/23 12:15:00 PM,121.489,12.110
47,05/23/23 12:30:00 PM,120.731,12.013
48,05/23/23 12:45:00 PM,119.893,12.110
49,05/23/23 01:00:00 PM,119.219,12.013
50,05/23/23 01:15:00 PM,118.742,12.401
51,05/23/23 01:30:00 PM,118.193,12.594
52,05/23/23 01:45:00 PM,117.739,12.594
53,05/23/23 02:00:00 PM,117.672,12.594
54,05/23/23 02:15:00 PM,117.713,12.883
55,05/23/23 02:30:00 PM,117.732,12.980
56,05/23/23 02:45:00 PM,118.090,13.173
57,05/23/23 03:00:00 PM,118.541,13.076
58,05/23/23 03:15:00 PM,119.040,12.883
59,05/23/23 03:30:00 PM,119.592,12.787
60,05/23/23 03:45:00 PM,120.912,12.497
61,05/23/23 04:00:00 PM,121.483,12.497
62,05/23/23 04:15:00 PM,122.443,12.594
63,05/23/23 04:30:00 PM,123.811,12.883
64,05/23/23 04:45:00 PM,125.009,13.076
65,05/23/23 05:00:00 PM,126.338,13.173
66,05/23/23 05:15:00 PM,127.645,13.076
67,05/23/23 05:30:00 PM,129.160,10.846
