#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,05/17/2023 13:29:41,,Logged,,,
2,05/17/2023 13:29:44,,,Logged,,
3,05/17/2023 13:29:48,,,,Logged,
4,05/23/2023 01:00:00,9.714,,,,
5,05/23/2023 01:15:00,9.714,,,,
6,05/23/2023 01:30:00,9.714,,,,
7,05/23/2023 01:45:00,9.714,,,,
8,05/23/2023 02:00:00,9.703,,,,
9,05/23/2023 02:15:00,9.703,,,,
10,05/23/2023 02:30:00,9.703,,,,
11,05/23/2023 02:45:00,9.703,,,,
12,05/23/2023 03:00:00,9.693,,,,
13,05/23/2023 03:15:00,9.703,,,,
14,05/23/2023 03:30:00,9.693,,,,
15,05/23/2023 03:45:00,9.682,,,,
16,05/23/2023 04:00:00,9.661,,,,
17,05/23/2023 04:15:00,9.650,,,,
18,05/23/2023 04:30:00,9.650,,,,
19,05/23/2023 04:45:00,9.661,,,,
20,05/23/2023 05:00:00,9.650,,,,
21,05/23/2023 05:15:00,9.650,,,,
22,05/23/2023 05:30:00,9.661,,,,
23,05/23/2023 05:45:00,9.661,,,,
24,05/23/2023 06:00:00,9.661,,,,
25,05/23/2023 06:15:00,9.661,,,,
26,05/23/2023 06:30:00,9.661,,,,
27,05/23/2023 06:45:00,9.671,,,,
28,05/23/2023 07:00:00,9.661,,,,
29,05/23/2023 07:15:00,9.671,,,,
30,05/23/2023 07:30:00,9.671,,,,
31,05/23/2023 07:45:00,9.693,,,,
32,05/23/2023 08:00:00,9.693,,,,
33,05/23/2023 08:15:00,9.703,,,,
34,05/23/2023 08:30:00,9.714,,,,
35,05/23/2023 08:45:00,9.736,,,,
36,05/23/2023 09:00:00,9.768,,,,
37,05/23/2023 09:15:00,9.789,,,,
38,05/23/2023 09:30:00,9.843,,,,
39,05/23/2023 09:45:00,9.886,,,,
40,05/23/2023 10:00:00,9.918,,,,
41,05/23/2023 10:15:00,9.982,,,,
42,05/23/2023 10:30:00,10.014,,,,
43,05/23/2023 10:45:00,10.047,,,,
44,05/23/2023 11:00:00,10.100,,,,
45,05/23/2023 11:15:00,10.100,,,,
46,05/23/2023 11:30:00,10.100,,,,
47,05/23/2023 11:45:00,10.143,,,,
48,05/23/2023 12:00:00,10.250,,,,
49,05/23/2023 12:15:00,10.304,,,,
50,05/23/2023 12:30:00,10.368,,,,
51,05/23/2023 12:45:00,10.411,,,,
52,05/23/2023 13:00:00,10.497,,,,
53,05/23/2023 13:15:00,10.583,,,,
54,05/23/2023 13:30:00,10.679,,,,
55,05/23/2023 13:45:00,10.733,,,,
56,05/23/2023 14:00:00,10.787,,,,
57,05/23/2023 14:15:00,10.851,,,,
58,05/23/2023 14:30:00,10.894,,,,
59,05/23/2023 14:45:00,10.958,,,,
60,05/23/2023 15:00:00,11.033,,,,
61,05/23/2023 15:15:00,11.162,,,,
62,05/23/2023 15:30:00,11.141,,,,
63,05/23/2023 15:45:00,11.066,,,,
64,05/23/2023 16:00:00,11.044,,,,
65,05/23/2023 16:15:00,10.990,,,,
66,05/23/2023 16:30:00,10.915,,,,
67,05/23/2023 16:45:00,10.744,,,,
68,05/23/2023 17:00:00,10.540,,,,
69,05/23/2023 17:15:00,10.368,,,,
70,05/23/2023 17:30:00,10.240,,,,
71,05/23/2023 17:45:00,10.175,,,,
