#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,05/17/2023 13:08:46,,Logged,,,
2,05/17/2023 13:08:47,,,Logged,,
3,05/17/2023 13:09:02,,Logged,,,
4,05/17/2023 13:09:03,,,Logged,,
5,05/17/2023 13:09:45,,,,Logged,
6,05/23/2023 01:00:00,9.382,,,,
7,05/23/2023 01:15:00,9.382,,,,
8,05/23/2023 01:30:00,9.382,,,,
9,05/23/2023 01:45:00,9.382,,,,
10,05/23/2023 02:00:00,9.382,,,,
11,05/23/2023 02:15:00,9.382,,,,
12,05/23/2023 02:30:00,9.382,,,,
13,05/23/2023 02:45:00,9.382,,,,
14,05/23/2023 03:00:00,9.382,,,,
15,05/23/2023 03:15:00,9.382,,,,
16,05/23/2023 03:30:00,9.382,,,,
17,05/23/2023 03:45:00,9.382,,,,
18,05/23/2023 04:00:00,9.392,,,,
19,05/23/2023 04:15:00,9.382,,,,
20,05/23/2023 04:30:00,9.382,,,,
21,05/23/2023 04:45:00,9.382,,,,
22,05/23/2023 05:00:00,9.392,,,,
23,05/23/2023 05:15:00,9.382,,,,
24,05/23/2023 05:30:00,9.382,,,,
25,05/23/2023 05:45:00,9.371,,,,
26,05/23/2023 06:00:00,9.360,,,,
27,05/23/2023 06:15:00,9.360,,,,
28,05/23/2023 06:30:00,9.360,,,,
29,05/23/2023 06:45:00,9.360,,,,
30,05/23/2023 07:00:00,9.371,,,,
31,05/23/2023 07:15:00,9.371,,,,
32,05/23/2023 07:30:00,9.382,,,,
33,05/23/2023 07:45:00,9.414,,,,
34,05/23/2023 08:00:00,9.425,,,,
35,05/23/2023 08:15:00,9.457,,,,
36,05/23/2023 08:30:00,9.467,,,,
37,05/23/2023 08:45:00,9.564,,,,
38,05/23/2023 09:00:00,9.864,,,,
39,05/23/2023 09:15:00,10.883,,,,
40,05/23/2023 09:30:00,10.293,,,,
41,05/23/2023 09:45:00,10.679,,,,
42,05/23/2023 10:00:00,10.733,,,,
43,05/23/2023 10:15:00,10.819,,,,
44,05/23/2023 10:30:00,11.087,,,,
45,05/23/2023 10:45:00,11.269,,,,
46,05/23/2023 11:00:00,11.334,,,,
47,05/23/2023 11:15:00,11.495,,,,
48,05/23/2023 11:30:00,11.623,,,,
49,05/23/2023 11:45:00,11.720,,,,
50,05/23/2023 12:00:00,11.655,,,,
51,05/23/2023 12:15:00,11.623,,,,
52,05/23/2023 12:30:00,11.666,,,,
53,05/23/2023 12:45:00,11.591,,,,
54,05/23/2023 13:00:00,11.473,,,,
55,05/23/2023 13:15:00,11.570,,,,
56,05/23/2023 13:30:00,11.591,,,,
57,05/23/2023 13:45:00,11.741,,,,
58,05/23/2023 14:00:00,11.741,,,,
59,05/23/2023 14:15:00,11.698,,,,
60,05/23/2023 14:30:00,11.859,,,,
61,05/23/2023 14:45:00,10.540,,,,
62,05/23/2023 15:00:00,10.154,,,,
63,05/23/2023 15:15:00,10.905,,,,
64,05/23/2023 15:30:00,10.240,,,,
65,05/23/2023 15:45:00,9.725,,,,
66,05/23/2023 16:00:00,9.757,,,,
67,05/23/2023 16:15:00,9.832,,,,
68,05/23/2023 16:30:00,9.929,,,,
69,05/23/2023 16:45:00,9.693,,,,
70,05/23/2023 17:00:00,9.671,,,,
71,05/23/2023 17:15:00,9.693,,,,
72,05/23/2023 17:30:00,9.811,,,,
73,05/23/2023 17:45:00,9.789,,,,
74,05/23/2023 18:00:00,9.693,,,,
75,05/23/2023 18:15:00,9.714,,,,
76,05/23/2023 18:30:00,9.714,,,,
77,05/23/2023 18:45:00,9.671,,,,
78,05/23/2023 19:00:00,9.564,,,,
79,05/23/2023 19:15:00,9.457,,,,
80,05/23/2023 19:30:00,9.392,,,,
81,05/23/2023 19:45:00,9.403,,,,
82,05/23/2023 20:00:00,9.392,,,,
83,05/23/2023 20:15:00,9.350,,,,
84,05/23/2023 20:30:00,9.317,,,,
85,05/23/2023 20:45:00,9.317,,,,
86,05/23/2023 21:00:00,9.317,,,,
87,05/23/2023 21:15:00,9.317,,,,
88,05/23/2023 21:30:00,9.296,,,,
89,05/23/2023 21:45:00,9.296,,,,
90,05/23/2023 22:00:00,9.307,,,,
91,05/23/2023 22:15:00,9.296,,,,
92,05/23/2023 22:30:00,9.296,,,,
93,05/23/2023 22:45:00,9.317,,,,
94,05/23/2023 23:00:00,9.317,,,,
95,05/23/2023 23:15:00,9.339,,,,
96,05/23/2023 23:30:00,9.350,,,,
97,05/23/2023 23:45:00,9.350,,,,
98,05/24/2023 00:00:00,9.360,,,,
99,05/24/2023 00:15:00,9.371,,,,
100,05/24/2023 00:30:00,9.382,,,,
101,05/24/2023 00:45:00,9.382,,,,
102,05/24/2023 01:00:00,9.382,,,,
103,05/24/2023 01:15:00,9.392,,,,
104,05/24/2023 01:30:00,9.382,,,,
105,05/24/2023 01:45:00,9.382,,,,
106,05/24/2023 02:00:00,9.392,,,,
107,05/24/2023 02:15:00,9.392,,,,
108,05/24/2023 02:30:00,9.382,,,,
109,05/24/2023 02:45:00,9.371,,,,
110,05/24/2023 03:00:00,9.382,,,,
111,05/24/2023 03:15:00,9.382,,,,
112,05/24/2023 03:30:00,9.382,,,,
113,05/24/2023 03:45:00,9.392,,,,
114,05/24/2023 04:00:00,9.403,,,,
115,05/24/2023 04:15:00,9.414,,,,
116,05/24/2023 04:30:00,9.414,,,,
117,05/24/2023 04:45:00,9.435,,,,
118,05/24/2023 05:00:00,9.467,,,,
119,05/24/2023 05:15:00,9.467,,,,
120,05/24/2023 05:30:00,9.467,,,,
121,05/24/2023 05:45:00,9.467,,,,
122,05/24/2023 06:00:00,9.467,,,,
123,05/24/2023 06:15:00,9.467,,,,
124,05/24/2023 06:30:00,9.478,,,,
125,05/24/2023 06:45:00,9.414,,,,
126,05/24/2023 07:00:00,9.392,,,,
127,05/24/2023 07:15:00,9.392,,,,
128,05/24/2023 07:30:00,9.403,,,,
129,05/24/2023 07:45:00,9.403,,,,
130,05/24/2023 08:00:00,9.414,,,,
131,05/24/2023 08:15:00,9.414,,,,
132,05/24/2023 08:30:00,9.425,,,,
133,05/24/2023 08:45:00,9.435,,,,
134,05/24/2023 09:00:00,9.467,,,,
135,05/24/2023 09:15:00,9.596,,,,
136,05/24/2023 09:30:00,9.671,,,,
137,05/24/2023 09:45:00,10.165,,,,
138,05/24/2023 10:00:00,10.304,,,,
139,05/24/2023 10:15:00,10.797,,,,
140,05/24/2023 10:30:00,11.108,,,,
141,05/24/2023 10:45:00,10.990,,,,
142,05/24/2023 11:00:00,11.162,,,,
143,05/24/2023 11:15:00,11.237,,,,
144,05/24/2023 11:30:00,11.248,,,,
145,05/24/2023 11:45:00,11.452,,,,
146,05/24/2023 12:00:00,11.259,,,,
147,05/24/2023 12:15:00,11.591,,,,
148,05/24/2023 12:30:00,11.259,,,,
149,05/24/2023 12:45:00,11.537,,,,
150,05/24/2023 13:00:00,11.580,,,,
151,05/24/2023 13:15:00,11.773,,,,
152,05/24/2023 13:30:00,11.956,,,,
