Site Name ,ODYLIGHT-6420
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6420


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

143,24/05/2023 , 12:45:00,9384,9384
144,24/05/2023 , 13:00:00,9533,9533
145,24/05/2023 , 13:15:00,10057,10057
146,24/05/2023 , 13:30:00,10840,10840
147,24/05/2023 , 13:45:00,11269,11269
148,24/05/2023 , 14:00:00,10885,10885
149,24/05/2023 , 14:15:00,10647,10647
150,24/05/2023 , 14:30:00,10168,10168
151,24/05/2023 , 14:45:00,10047,10047
152,24/05/2023 , 15:00:00,9849,9849
153,24/05/2023 , 15:15:00,9263,9263
154,24/05/2023 , 15:30:00,8559,8559
155,24/05/2023 , 15:45:00,7511,7511
156,24/05/2023 , 16:00:00,5919,5919
157,24/05/2023 , 16:15:00,5859,5859
158,24/05/2023 , 16:30:00,5730,5730
159,24/05/2023 , 16:45:00,4766,4766
160,24/05/2023 , 17:00:00,3698,3698
161,24/05/2023 , 17:15:00,3553,3553
162,24/05/2023 , 17:30:00,2995,2995
163,24/05/2023 , 17:45:00,2599,2599
164,24/05/2023 , 18:00:00,2172,2172
165,24/05/2023 , 18:15:00,1803,1803
166,24/05/2023 , 18:30:00,1434,1434
167,24/05/2023 , 18:45:00,1185,1185
168,24/05/2023 , 19:00:00,953,953
169,24/05/2023 , 19:15:00,632,632
170,24/05/2023 , 19:30:00,359,359
171,24/05/2023 , 19:45:00,209,209
172,24/05/2023 , 20:00:00,144,144
173,24/05/2023 , 20:15:00,118,118
174,24/05/2023 , 20:30:00,89,89
175,24/05/2023 , 20:45:00,42,42
176,24/05/2023 , 21:00:00,15,15
177,24/05/2023 , 21:15:00,4,4
178,24/05/2023 , 21:30:00,0,0
179,24/05/2023 , 21:45:00,0,0
180,24/05/2023 , 22:00:00,0,0
181,24/05/2023 , 22:15:00,0,0
182,24/05/2023 , 22:30:00,0,0
183,24/05/2023 , 22:45:00,0,0
184,24/05/2023 , 23:00:00,0,0
185,24/05/2023 , 23:15:00,0,0
186,24/05/2023 , 23:30:00,0,0
187,24/05/2023 , 23:45:00,0,0
188,24/05/2023 , 24:00:00,0,0
189,25/05/2023 , 00:15:00,0,0
190,25/05/2023 , 00:30:00,0,0
191,25/05/2023 , 00:45:00,0,0
192,25/05/2023 , 01:00:00,0,0
193,25/05/2023 , 01:15:00,0,0
194,25/05/2023 , 01:30:00,0,0
195,25/05/2023 , 01:45:00,0,0
196,25/05/2023 , 02:00:00,0,0
197,25/05/2023 , 02:15:00,0,0
198,25/05/2023 , 02:30:00,0,0
199,25/05/2023 , 02:45:00,0,0
200,25/05/2023 , 03:00:00,0,0
201,25/05/2023 , 03:15:00,0,0
202,25/05/2023 , 03:30:00,0,0
203,25/05/2023 , 03:45:00,0,0
204,25/05/2023 , 04:00:00,0,0
205,25/05/2023 , 04:15:00,0,0
206,25/05/2023 , 04:30:00,0,0
207,25/05/2023 , 04:45:00,0,0
208,25/05/2023 , 05:00:00,0,0
209,25/05/2023 , 05:15:00,5,5
210,25/05/2023 , 05:30:00,25,25
211,25/05/2023 , 05:45:00,65,65
212,25/05/2023 , 06:00:00,131,131
213,25/05/2023 , 06:15:00,210,210
214,25/05/2023 , 06:30:00,281,281
215,25/05/2023 , 06:45:00,390,390
216,25/05/2023 , 07:00:00,525,525
217,25/05/2023 , 07:15:00,668,668
218,25/05/2023 , 07:30:00,801,801
219,25/05/2023 , 07:45:00,943,943
220,25/05/2023 , 08:00:00,1218,1218
221,25/05/2023 , 08:15:00,1491,1491
222,25/05/2023 , 08:30:00,1696,1696
223,25/05/2023 , 08:45:00,1904,1904
224,25/05/2023 , 09:00:00,2220,2220
225,25/05/2023 , 09:15:00,2605,2605
226,25/05/2023 , 09:30:00,3000,3000
227,25/05/2023 , 09:45:00,3476,3476
228,25/05/2023 , 10:00:00,3870,3870
229,25/05/2023 , 10:15:00,4238,4238
230,25/05/2023 , 10:30:00,5031,5031
231,25/05/2023 , 10:45:00,5497,5497
232,25/05/2023 , 11:00:00,5893,5893
233,25/05/2023 , 11:15:00,6403,6403
234,25/05/2023 , 11:30:00,6659,6659
235,25/05/2023 , 11:45:00,7032,7032
236,25/05/2023 , 12:00:00,7467,7467
237,25/05/2023 , 12:15:00,7907,7907
238,25/05/2023 , 12:30:00,8396,8396
239,25/05/2023 , 12:45:00,8738,8738
240,25/05/2023 , 13:00:00,9012,9012
241,25/05/2023 , 13:15:00,9559,9559
242,25/05/2023 , 13:30:00,9685,9685
243,25/05/2023 , 13:45:00,9794,9794
244,25/05/2023 , 14:00:00,9998,9998
245,25/05/2023 , 14:15:00,9614,9614
246,25/05/2023 , 14:30:00,9271,9271
247,25/05/2023 , 14:45:00,9410,9410
248,25/05/2023 , 15:00:00,9239,9239
249,25/05/2023 , 15:15:00,9003,9003
250,25/05/2023 , 15:30:00,8662,8662
251,25/05/2023 , 15:45:00,8171,8171
252,25/05/2023 , 16:00:00,7866,7866
253,25/05/2023 , 16:15:00,7323,7323
254,25/05/2023 , 16:30:00,6739,6739
255,25/05/2023 , 16:45:00,6064,6064
256,25/05/2023 , 17:00:00,5275,5275
257,25/05/2023 , 17:15:00,4551,4551
258,25/05/2023 , 17:30:00,3814,3814
259,25/05/2023 , 17:45:00,3209,3209
260,25/05/2023 , 18:00:00,2569,2569
261,25/05/2023 , 18:15:00,1980,1980
262,25/05/2023 , 18:30:00,1502,1502
263,25/05/2023 , 18:45:00,665,665
264,25/05/2023 , 19:00:00,979,979
265,25/05/2023 , 19:15:00,705,705
266,25/05/2023 , 19:30:00,498,498
267,25/05/2023 , 19:45:00,328,328
268,25/05/2023 , 20:00:00,208,208
269,25/05/2023 , 20:15:00,123,123
270,25/05/2023 , 20:30:00,62,62
271,25/05/2023 , 20:45:00,33,33
272,25/05/2023 , 21:00:00,11,11
273,25/05/2023 , 21:15:00,4,4
274,25/05/2023 , 21:30:00,1,1
275,25/05/2023 , 21:45:00,0,0
276,25/05/2023 , 22:00:00,0,0
277,25/05/2023 , 22:15:00,0,0
278,25/05/2023 , 22:30:00,0,0
279,25/05/2023 , 22:45:00,0,0
280,25/05/2023 , 23:00:00,0,0
281,25/05/2023 , 23:15:00,0,0
282,25/05/2023 , 23:30:00,0,0
283,25/05/2023 , 23:45:00,0,0
284,25/05/2023 , 24:00:00,0,0
285,26/05/2023 , 00:15:00,0,0
286,26/05/2023 , 00:30:00,0,0
287,26/05/2023 , 00:45:00,0,0
288,26/05/2023 , 01:00:00,0,0
289,26/05/2023 , 01:15:00,0,0
290,26/05/2023 , 01:30:00,0,0
291,26/05/2023 , 01:45:00,0,0
292,26/05/2023 , 02:00:00,0,0
293,26/05/2023 , 02:15:00,0,0
294,26/05/2023 , 02:30:00,0,0
295,26/05/2023 , 02:45:00,0,0
296,26/05/2023 , 03:00:00,0,0
297,26/05/2023 , 03:15:00,0,0
298,26/05/2023 , 03:30:00,0,0
299,26/05/2023 , 03:45:00,0,0
300,26/05/2023 , 04:00:00,0,0
301,26/05/2023 , 04:15:00,0,0
302,26/05/2023 , 04:30:00,0,0
303,26/05/2023 , 04:45:00,0,0
304,26/05/2023 , 05:00:00,0,0
305,26/05/2023 , 05:15:00,5,5
306,26/05/2023 , 05:30:00,23,23
307,26/05/2023 , 05:45:00,60,60
308,26/05/2023 , 06:00:00,113,113
309,26/05/2023 , 06:15:00,185,185
310,26/05/2023 , 06:30:00,276,276
311,26/05/2023 , 06:45:00,446,446
312,26/05/2023 , 07:00:00,609,609
313,26/05/2023 , 07:15:00,763,763
314,26/05/2023 , 07:30:00,999,999
315,26/05/2023 , 07:45:00,1258,1258
316,26/05/2023 , 08:00:00,1541,1541
317,26/05/2023 , 08:15:00,1783,1783
318,26/05/2023 , 08:30:00,2042,2042
319,26/05/2023 , 08:45:00,2317,2317
320,26/05/2023 , 09:00:00,2612,2612
321,26/05/2023 , 09:15:00,2872,2872
322,26/05/2023 , 09:30:00,3094,3094
323,26/05/2023 , 09:45:00,3354,3354
324,26/05/2023 , 10:00:00,3643,3643
325,26/05/2023 , 10:15:00,3750,3750
326,26/05/2023 , 10:30:00,4225,4225
327,26/05/2023 , 10:45:00,4436,4436
328,26/05/2023 , 11:00:00,4904,4904
329,26/05/2023 , 11:15:00,4970,4970
330,26/05/2023 , 11:30:00,5102,5102
331,26/05/2023 , 11:45:00,5160,5160
332,26/05/2023 , 12:00:00,5312,5312
333,26/05/2023 , 12:15:00,5804,5804
334,26/05/2023 , 12:30:00,5993,5993
335,26/05/2023 , 12:45:00,6194,6194
336,26/05/2023 , 13:00:00,6496,6496
337,26/05/2023 , 13:15:00,6782,6782
338,26/05/2023 , 13:30:00,7116,7116
339,26/05/2023 , 13:45:00,7317,7317
340,26/05/2023 , 14:00:00,7476,7476
341,26/05/2023 , 14:15:00,7343,7343
342,26/05/2023 , 14:30:00,7131,7131
343,26/05/2023 , 14:45:00,7296,7296
344,26/05/2023 , 15:00:00,6803,6803
345,26/05/2023 , 15:15:00,6200,6200
346,26/05/2023 , 15:30:00,6316,6316
347,26/05/2023 , 15:45:00,5886,5886
348,26/05/2023 , 16:00:00,5390,5390
349,26/05/2023 , 16:15:00,5071,5071
350,26/05/2023 , 16:30:00,4801,4801
351,26/05/2023 , 16:45:00,4867,4867
352,26/05/2023 , 17:00:00,4033,4033
353,26/05/2023 , 17:15:00,3569,3569
354,26/05/2023 , 17:30:00,3192,3192
355,26/05/2023 , 17:45:00,2509,2509
356,26/05/2023 , 18:00:00,2133,2133
357,26/05/2023 , 18:15:00,1595,1595
358,26/05/2023 , 18:30:00,1154,1154
359,26/05/2023 , 18:45:00,826,826
360,26/05/2023 , 19:00:00,515,515
361,26/05/2023 , 19:15:00,438,438
362,26/05/2023 , 19:30:00,352,352
363,26/05/2023 , 19:45:00,186,186
364,26/05/2023 , 20:00:00,133,133
365,26/05/2023 , 20:15:00,98,98
366,26/05/2023 , 20:30:00,55,55
367,26/05/2023 , 20:45:00,26,26
368,26/05/2023 , 21:00:00,8,8
369,26/05/2023 , 21:15:00,2,2
370,26/05/2023 , 21:30:00,0,0
371,26/05/2023 , 21:45:00,0,0
372,26/05/2023 , 22:00:00,0,0
373,26/05/2023 , 22:15:00,0,0
374,26/05/2023 , 22:30:00,0,0
375,26/05/2023 , 22:45:00,0,0
376,26/05/2023 , 23:00:00,0,0
377,26/05/2023 , 23:15:00,0,0
378,26/05/2023 , 23:30:00,0,0
379,26/05/2023 , 23:45:00,0,0
380,26/05/2023 , 24:00:00,0,0
381,27/05/2023 , 00:15:00,0,0
382,27/05/2023 , 00:30:00,0,0
383,27/05/2023 , 00:45:00,0,0
384,27/05/2023 , 01:00:00,0,0
385,27/05/2023 , 01:15:00,0,0
386,27/05/2023 , 01:30:00,0,0
387,27/05/2023 , 01:45:00,0,0
388,27/05/2023 , 02:00:00,0,0
389,27/05/2023 , 02:15:00,0,0
390,27/05/2023 , 02:30:00,0,0
391,27/05/2023 , 02:45:00,0,0
392,27/05/2023 , 03:00:00,0,0
393,27/05/2023 , 03:15:00,0,0
394,27/05/2023 , 03:30:00,0,0
395,27/05/2023 , 03:45:00,0,0
396,27/05/2023 , 04:00:00,0,0
397,27/05/2023 , 04:15:00,0,0
398,27/05/2023 , 04:30:00,0,0
399,27/05/2023 , 04:45:00,0,0
400,27/05/2023 , 05:00:00,0,0
401,27/05/2023 , 05:15:00,4,4
402,27/05/2023 , 05:30:00,20,20
403,27/05/2023 , 05:45:00,58,58
404,27/05/2023 , 06:00:00,112,112
405,27/05/2023 , 06:15:00,175,175
406,27/05/2023 , 06:30:00,272,272
407,27/05/2023 , 06:45:00,405,405
408,27/05/2023 , 07:00:00,558,558
409,27/05/2023 , 07:15:00,677,677
410,27/05/2023 , 07:30:00,866,866
411,27/05/2023 , 07:45:00,970,970
412,27/05/2023 , 08:00:00,1146,1146
413,27/05/2023 , 08:15:00,1324,1324
414,27/05/2023 , 08:30:00,1491,1491
415,27/05/2023 , 08:45:00,1777,1777
416,27/05/2023 , 09:00:00,2124,2124
417,27/05/2023 , 09:15:00,2381,2381
418,27/05/2023 , 09:30:00,2566,2566
419,27/05/2023 , 09:45:00,2905,2905
420,27/05/2023 , 10:00:00,3217,3217
421,27/05/2023 , 10:15:00,3451,3451
422,27/05/2023 , 10:30:00,3576,3576
423,27/05/2023 , 10:45:00,3640,3640
424,27/05/2023 , 11:00:00,3796,3796
425,27/05/2023 , 11:15:00,3848,3848
426,27/05/2023 , 11:30:00,4035,4035
427,27/05/2023 , 11:45:00,4252,4252
428,27/05/2023 , 12:00:00,4344,4344
429,27/05/2023 , 12:15:00,4142,4142
430,27/05/2023 , 12:30:00,3793,3793
