"Plot Title: 21235771"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 21235771, SEN S/N: 21235771)","High Range, μS/cm (LGR S/N: 21235771, SEN S/N: 21235771)","Temp, °F (LGR S/N: 21235771, SEN S/N: 21235771)","Specific Conductance, μS/cm (LGR S/N: 21235771)","Salinity, ppt (LGR S/N: 21235771)","Coupler Detached (LGR S/N: 21235771)","Coupler Attached (LGR S/N: 21235771)","Host Connected (LGR S/N: 21235771)","Stopped (LGR S/N: 21235771)","End Of File (LGR S/N: 21235771)"
1,05/23/23 01:00:00 AM,32765.2,31268.9,49.53,45846.5,29.7094,Logged,,,,
2,05/23/23 01:15:00 AM,32765.2,31278.9,49.53,45861.7,29.7204,,,,,
3,05/23/23 01:30:00 AM,32765.2,31293.0,49.55,45871.5,29.7274,,,,,
4,05/23/23 01:45:00 AM,32765.2,31256.9,49.59,45796.9,29.6735,,,,,
5,05/23/23 02:00:00 AM,32765.2,31295.0,49.60,45841.5,29.7057,,,,,
6,05/23/23 02:15:00 AM,32765.2,31278.9,49.60,45818.7,29.6893,,,,,
7,05/23/23 02:30:00 AM,32765.2,31216.8,49.59,45740.5,29.6327,,,,,
8,05/23/23 02:45:00 AM,32765.2,31256.9,49.55,45822.2,29.6918,,,,,
9,05/23/23 03:00:00 AM,32765.2,31280.9,49.59,45835.0,29.7010,,,,,
10,05/23/23 03:15:00 AM,32765.2,31136.8,49.53,45660.3,29.5747,,,,,
11,05/23/23 03:30:00 AM,32765.2,31264.9,49.53,45847.2,29.7099,,,,,
12,05/23/23 03:45:00 AM,32765.2,31250.8,49.60,45781.8,29.6626,,,,,
13,05/23/23 04:00:00 AM,32765.2,31216.8,49.71,45664.9,29.5780,,,,,
14,05/23/23 04:15:00 AM,32765.2,30651.1,50.25,44512.6,28.7463,,,,,
15,05/23/23 04:30:00 AM,32199.6,30037.8,50.88,43254.5,27.8421,,,,,
16,05/23/23 04:45:00 AM,30832.4,29112.5,51.64,41502.6,26.5899,,,,,
17,05/23/23 05:00:00 AM,30263.0,28735.2,52.00,40769.4,26.0682,,,,,
18,05/23/23 05:15:00 AM,29670.6,28408.3,52.45,40064.6,25.5681,,,,,
19,05/23/23 05:30:00 AM,29716.3,28436.7,52.43,40114.7,25.6036,,,,,
20,05/23/23 05:45:00 AM,30061.1,28652.6,52.16,40565.6,25.9234,,,,,
21,05/23/23 06:00:00 AM,29915.6,28561.3,52.16,40437.8,25.8327,,,,,
22,05/23/23 06:15:00 AM,29479.6,28201.7,52.36,39826.0,25.3990,,,,,
23,05/23/23 06:30:00 AM,29106.1,27948.2,52.57,39356.0,25.0665,,,,,
24,05/23/23 06:45:00 AM,28742.1,27663.0,52.65,38919.8,24.7584,,,,,
25,05/23/23 07:00:00 AM,28965.8,27864.9,52.63,39212.0,24.9647,,,,,
26,05/23/23 07:15:00 AM,28693.8,27676.8,52.70,38911.8,24.7528,,,,,
27,05/23/23 07:30:00 AM,28965.8,27833.7,52.61,39179.0,24.9414,,,,,
28,05/23/23 07:45:00 AM,29010.4,27890.9,52.48,39326.4,25.0456,,,,,
29,05/23/23 08:00:00 AM,29283.6,28092.9,52.38,39667.7,25.2869,,,,,
30,05/23/23 08:15:00 AM,29382.5,28140.2,52.38,39734.6,25.3343,,,,,
31,05/23/23 08:30:00 AM,29238.6,28068.5,52.38,39634.6,25.2635,,,,,
32,05/23/23 08:45:00 AM,30056.7,28666.9,52.07,40642.1,25.9778,,,,,
33,05/23/23 09:00:00 AM,31356.2,29464.4,51.30,42206.6,27.0921,,,,,
