"Plot Title: 21742592"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 21742592, SEN S/N: 21742592)","High Range, μS/cm (LGR S/N: 21742592, SEN S/N: 21742592)","Temp, °F (LGR S/N: 21742592, SEN S/N: 21742592)","Specific Conductance, μS/cm (LGR S/N: 21742592)","Salinity, ppt (LGR S/N: 21742592)","Coupler Detached (LGR S/N: 21742592)","Coupler Attached (LGR S/N: 21742592)","Host Connected (LGR S/N: 21742592)","Stopped (LGR S/N: 21742592)","End Of File (LGR S/N: 21742592)"
1,05/23/23 01:00:00 AM,29526.5,33295.9,48.76,,,Logged,,,,
2,05/23/23 01:15:00 AM,29817.0,33339.3,48.78,,,,,,,
3,05/23/23 01:30:00 AM,29905.3,33362.2,48.78,,,,,,,
4,05/23/23 01:45:00 AM,29905.3,33367.4,48.78,,,,,,,
5,05/23/23 02:00:00 AM,29789.3,33316.3,48.78,,,,,,,
6,05/23/23 02:15:00 AM,29877.5,33283.2,48.78,,,,,,,
7,05/23/23 02:30:00 AM,29877.5,33344.4,48.78,,,,,,,
8,05/23/23 02:45:00 AM,29877.5,33352.0,48.78,,,,,,,
9,05/23/23 03:00:00 AM,29877.5,33357.1,48.78,,,,,,,
10,05/23/23 03:15:00 AM,29789.3,33306.1,48.78,,,,,,,
11,05/23/23 03:30:00 AM,29877.5,33357.1,48.78,,,,,,,
12,05/23/23 03:45:00 AM,29849.8,33357.1,48.78,,,,,,,
13,05/23/23 04:00:00 AM,29877.5,33341.8,48.79,,,,,,,
14,05/23/23 04:15:00 AM,29849.8,33334.2,48.78,,,,,,,
15,05/23/23 04:30:00 AM,29761.6,33357.1,48.78,,,,,,,
16,05/23/23 04:45:00 AM,29849.8,33326.5,48.78,,,,,,,
17,05/23/23 05:00:00 AM,29938.2,33303.6,48.76,,,,,,,
18,05/23/23 05:15:00 AM,29966.0,33334.2,48.78,,,,,,,
19,05/23/23 05:30:00 AM,29938.2,33334.2,48.78,,,,,,,
20,05/23/23 05:45:00 AM,29938.2,33377.6,48.72,,,,,,,
21,05/23/23 06:00:00 AM,29938.2,33385.3,48.70,,,,,,,
22,05/23/23 06:15:00 AM,29938.2,33369.9,48.72,,,,,,,
23,05/23/23 06:30:00 AM,29822.0,33385.3,48.72,,,,,,,
24,05/23/23 06:45:00 AM,29822.0,33354.6,48.72,,,,,,,
25,05/23/23 07:00:00 AM,29822.0,33382.7,48.76,,,,,,,
26,05/23/23 07:15:00 AM,29910.3,33362.2,48.76,,,,,,,
27,05/23/23 07:30:00 AM,29910.3,33367.4,48.79,,,,,,,
28,05/23/23 07:45:00 AM,29999.0,33352.0,48.85,,,,,,,
29,05/23/23 08:00:00 AM,29999.0,33382.7,48.88,,,,,,,
30,05/23/23 08:15:00 AM,29882.6,33387.8,48.90,,,,,,,
31,05/23/23 08:30:00 AM,29999.0,33433.9,48.99,,,,,,,
32,05/23/23 08:45:00 AM,30059.9,33552.3,49.26,,,,,,,
33,05/23/23 09:00:00 AM,30449.1,33886.0,50.25,,,,,,,
34,05/23/23 09:15:00 AM,30511.1,33828.2,50.50,,,,,,,
35,05/23/23 09:30:00 AM,30601.8,33973.0,50.50,,,,,,,
36,05/23/23 09:45:00 AM,30909.8,34244.7,51.13,,,,,,,
37,05/23/23 10:00:00 AM,31096.8,34452.5,51.75,,,,,,,
38,05/23/23 10:15:00 AM,31096.8,34482.4,51.75,,,,,,,
39,05/23/23 10:30:00 AM,31258.5,34665.4,52.18,,,,,,,
40,05/23/23 10:45:00 AM,31258.5,34501.4,51.89,,,,,,,
41,05/23/23 11:00:00 AM,31448.0,34764.6,52.48,,,,,,,
42,05/23/23 11:15:00 AM,31515.0,34819.9,52.63,,,,,,,
43,05/23/23 11:30:00 AM,31709.0,34919.8,52.92,,,,,,,
44,05/23/23 11:45:00 AM,31709.0,34886.5,52.88,,,,,,,
45,05/23/23 12:00:00 PM,31549.9,34836.5,52.75,,,,,,,
46,05/23/23 12:15:00 PM,31549.9,34900.4,52.81,,,,,,,
47,05/23/23 12:30:00 PM,31614.5,34939.3,52.97,,,,,,,
48,05/23/23 12:45:00 PM,31362.4,34709.4,52.48,,,,,,,
49,05/23/23 01:00:00 PM,31456.0,34723.2,52.59,,,,,,,
50,05/23/23 01:15:00 PM,31523.1,34750.8,52.72,,,,,,,
51,05/23/23 01:30:00 PM,31490.8,34844.8,52.92,,,,,,,
52,05/23/23 01:45:00 PM,31655.0,34914.3,53.10,,,,,,,
53,05/23/23 02:00:00 PM,31431.9,34723.2,52.72,,,,,,,
54,05/23/23 02:15:00 PM,31593.0,34917.1,53.08,,,,,,,
55,05/23/23 02:30:00 PM,31152.3,34428.1,52.02,,,,,,,
56,05/23/23 02:45:00 PM,30361.6,33728.8,50.14,,,,,,,
57,05/23/23 03:00:00 PM,30451.7,33786.3,50.38,,,,,,,
58,05/23/23 03:15:00 PM,31186.8,34602.4,52.47,,,,,,,
59,05/23/23 03:30:00 PM,29928.0,33459.6,49.41,,,,,,,
60,05/23/23 03:45:00 PM,29814.5,33459.6,49.41,,,,,,,
61,05/23/23 04:00:00 PM,30016.7,33459.6,49.39,,,,,,,
62,05/23/23 04:15:00 PM,30077.7,33567.8,49.78,,,,,,,
63,05/23/23 04:30:00 PM,29789.3,33306.1,49.44,,,,,,,
64,05/23/23 04:45:00 PM,29703.9,33133.8,49.26,,,,,,,
65,05/23/23 05:00:00 PM,29676.3,33146.4,49.35,,,,,,,
66,05/23/23 05:15:00 PM,29676.3,33111.1,49.37,,,,,,,
67,05/23/23 05:30:00 PM,29764.2,33268.0,49.66,,,,,,,
68,05/23/23 05:45:00 PM,29676.3,33040.7,49.35,,,,,,,
69,05/23/23 06:00:00 PM,29676.3,33040.7,49.33,,,,,,,
70,05/23/23 06:15:00 PM,29566.4,32975.6,49.37,,,,,,,
71,05/23/23 06:30:00 PM,29651.3,33003.1,49.35,,,,,,,
72,05/23/23 06:45:00 PM,29626.3,32945.6,49.12,,,,,,,
73,05/23/23 07:00:00 PM,29432.0,32903.2,48.99,,,,,,,
74,05/23/23 07:15:00 PM,29432.0,32890.8,48.81,,,,,,,
75,05/23/23 07:30:00 PM,29432.0,32910.7,48.78,,,,,,,
76,05/23/23 07:45:00 PM,29516.5,32938.1,48.79,,,,,,,
77,05/23/23 08:00:00 PM,29516.5,32923.1,48.76,,,,,,,
78,05/23/23 08:15:00 PM,29626.3,32965.6,48.63,,,,,,,
79,05/23/23 08:30:00 PM,29626.3,33015.6,48.61,,,,,,,
80,05/23/23 08:45:00 PM,29626.3,33000.6,48.61,,,,,,,
81,05/23/23 09:00:00 PM,29626.3,33015.6,48.63,,,,,,,
82,05/23/23 09:15:00 PM,29516.5,33038.2,48.60,,,,,,,
83,05/23/23 09:30:00 PM,29626.3,33038.2,48.60,,,,,,,
84,05/23/23 09:45:00 PM,29626.3,33023.1,48.61,,,,,,,
85,05/23/23 10:00:00 PM,29601.3,33043.2,48.60,,,,,,,
86,05/23/23 10:15:00 PM,29601.3,33030.6,48.60,,,,,,,
87,05/23/23 10:30:00 PM,29711.4,33035.7,48.61,,,,,,,
88,05/23/23 10:45:00 PM,29686.4,33050.7,48.61,,,,,,,
89,05/23/23 11:00:00 PM,29711.4,33063.3,48.63,,,,,,,
90,05/23/23 11:15:00 PM,29601.3,33063.3,48.69,,,,,,,
91,05/23/23 11:30:00 PM,29686.4,33055.7,48.72,,,,,,,
92,05/23/23 11:45:00 PM,29576.3,33050.7,48.69,,,,,,,
93,05/24/23 12:00:00 AM,29601.3,33063.3,48.70,,,,,,,
94,05/24/23 12:15:00 AM,29796.9,33055.7,48.76,,,,,,,
95,05/24/23 12:30:00 AM,29796.9,33070.8,48.76,,,,,,,
96,05/24/23 12:45:00 AM,29686.4,33070.8,48.78,,,,,,,
97,05/24/23 01:00:00 AM,29686.4,33085.9,48.78,,,,,,,
98,05/24/23 01:15:00 AM,29686.4,33078.4,48.76,,,,,,,
99,05/24/23 01:30:00 AM,29771.7,33063.3,48.78,,,,,,,
100,05/24/23 01:45:00 AM,29771.7,33085.9,48.78,,,,,,,
101,05/24/23 02:00:00 AM,29686.4,33085.9,48.78,,,,,,,
102,05/24/23 02:15:00 AM,29771.7,33070.8,48.76,,,,,,,
103,05/24/23 02:30:00 AM,29686.4,33063.3,48.72,,,,,,,
104,05/24/23 02:45:00 AM,29661.3,33048.2,48.72,,,,,,,
105,05/24/23 03:00:00 AM,29661.3,33063.3,48.76,,,,,,,
106,05/24/23 03:15:00 AM,29686.4,33085.9,48.76,,,,,,,
107,05/24/23 03:30:00 AM,29771.7,33085.9,48.78,,,,,,,
108,05/24/23 03:45:00 AM,29771.7,33063.3,48.78,,,,,,,
109,05/24/23 04:00:00 AM,29771.7,33090.9,48.81,,,,,,,
110,05/24/23 04:15:00 AM,29746.6,33126.2,48.85,,,,,,,
111,05/24/23 04:30:00 AM,29746.6,33028.1,48.81,,,,,,,
112,05/24/23 04:45:00 AM,29771.7,33118.6,48.92,,,,,,,
113,05/24/23 05:00:00 AM,29746.6,33053.2,48.92,,,,,,,
114,05/24/23 05:15:00 AM,29771.7,33106.0,48.92,,,,,,,
115,05/24/23 05:30:00 AM,29746.6,33068.3,48.90,,,,,,,
116,05/24/23 05:45:00 AM,29746.6,33090.9,48.90,,,,,,,
117,05/24/23 06:00:00 AM,29746.6,33075.8,48.90,,,,,,,
118,05/24/23 06:15:00 AM,29661.3,33103.5,48.90,,,,,,,
119,05/24/23 06:30:00 AM,29746.6,33068.3,48.85,,,,,,,
120,05/24/23 06:45:00 AM,29746.6,33090.9,48.78,,,,,,,
121,05/24/23 07:00:00 AM,29746.6,33060.8,48.76,,,,,,,
122,05/24/23 07:15:00 AM,29636.3,33068.3,48.78,,,,,,,
123,05/24/23 07:30:00 AM,29746.6,33103.5,48.81,,,,,,,
124,05/24/23 07:45:00 AM,29746.6,33096.0,48.79,,,,,,,
125,05/24/23 08:00:00 AM,29832.1,33111.1,48.85,,,,,,,
126,05/24/23 08:15:00 AM,29721.5,33118.6,48.85,,,,,,,
127,05/24/23 08:30:00 AM,29806.9,33146.4,48.87,,,,,,,
128,05/24/23 08:45:00 AM,29832.1,33123.7,48.88,,,,,,,
129,05/24/23 09:00:00 AM,29611.3,33033.1,48.97,,,,,,,
130,05/24/23 09:15:00 AM,29892.7,33186.8,49.17,,,,,,,
131,05/24/23 09:30:00 AM,29978.7,33250.2,49.35,,,,,,,
132,05/24/23 09:45:00 AM,30154.1,33377.6,49.96,,,,,,,
133,05/24/23 10:00:00 AM,30537.0,33778.4,51.19,,,,,,,
134,05/24/23 10:15:00 AM,30836.4,34033.9,51.49,,,,,,,
135,05/24/23 10:30:00 AM,30991.3,34199.1,51.82,,,,,,,
136,05/24/23 10:45:00 AM,31020.2,34121.7,51.78,,,,,,,
137,05/24/23 11:00:00 AM,30781.4,33986.2,51.98,,,,,,,
138,05/24/23 11:15:00 AM,31083.6,34260.8,52.07,,,,,,,
139,05/24/23 11:30:00 AM,31054.5,34311.9,52.30,48075.4,31.3289,,,,,
140,05/24/23 11:45:00 AM,31176.2,34349.6,52.38,48083.1,31.3345,,,,,
141,05/24/23 12:00:00 PM,31176.2,34403.7,52.47,48101.9,31.3483,,,,,
142,05/24/23 12:15:00 PM,31362.4,34501.4,52.77,48041.8,31.3044,,,,,
143,05/24/23 12:30:00 PM,31025.5,34395.6,52.47,48094.5,31.3428,,,,,
144,05/24/23 12:45:00 PM,31117.9,34322.7,52.39,48041.7,31.3043,,,,,
