"Plot Title: 21235774"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 21235774, SEN S/N: 21235774)","High Range, μS/cm (LGR S/N: 21235774, SEN S/N: 21235774)","Temp, °F (LGR S/N: 21235774, SEN S/N: 21235774)","Specific Conductance, μS/cm (LGR S/N: 21235774)","Salinity, ppt (LGR S/N: 21235774)","Coupler Detached (LGR S/N: 21235774)","Coupler Attached (LGR S/N: 21235774)","Host Connected (LGR S/N: 21235774)","Stopped (LGR S/N: 21235774)","End Of File (LGR S/N: 21235774)"
1,05/23/23 01:00:00 AM,32274.0,28756.1,49.19,46977.7,30.5298,Logged,,,,
2,05/23/23 01:15:00 AM,32207.8,28754.2,49.21,46963.2,30.5192,,,,,
3,05/23/23 01:30:00 AM,32207.8,28737.5,49.19,46948.2,30.5083,,,,,
4,05/23/23 01:45:00 AM,32144.2,28722.6,49.21,46912.7,30.4825,,,,,
5,05/23/23 02:00:00 AM,31896.4,28578.4,49.24,46656.1,30.2961,,,,,
6,05/23/23 02:15:00 AM,31058.4,28001.4,50.38,45010.8,29.1054,,,,,
7,05/23/23 02:30:00 AM,30825.0,27890.9,50.61,44690.8,28.8747,,,,,
8,05/23/23 02:45:00 AM,30259.7,27521.5,51.08,43821.6,28.2492,,,,,
9,05/23/23 03:00:00 AM,29775.9,27210.6,51.44,43117.8,27.7441,,,,,
10,05/23/23 03:15:00 AM,29250.6,26857.7,51.67,42427.3,27.2498,,,,,
11,05/23/23 03:30:00 AM,28744.6,26554.3,51.89,41828.4,26.8222,,,,,
12,05/23/23 03:45:00 AM,28597.4,26471.8,51.94,41669.0,26.7085,,,,,
13,05/23/23 04:00:00 AM,28695.4,26481.7,51.98,41664.4,26.7052,,,,,
14,05/23/23 04:15:00 AM,28793.9,26557.6,51.94,41803.7,26.8045,,,,,
15,05/23/23 04:30:00 AM,28946.7,26672.1,51.85,42034.4,26.9691,,,,,
16,05/23/23 04:45:00 AM,28546.3,26409.3,52.07,41501.3,26.5890,,,,,
