#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,05/17/2023 13:12:07,,Logged,Logged,,
2,05/17/2023 13:12:12,,,,Logged,
3,05/23/2023 01:00:00,10.208,,,,
4,05/23/2023 01:15:00,10.186,,,,
5,05/23/2023 01:30:00,10.229,,,,
6,05/23/2023 01:45:00,10.229,,,,
7,05/23/2023 02:00:00,10.433,,,,
8,05/23/2023 02:15:00,10.411,,,,
9,05/23/2023 02:30:00,10.454,,,,
10,05/23/2023 02:45:00,10.486,,,,
11,05/23/2023 03:00:00,10.508,,,,
12,05/23/2023 03:15:00,10.497,,,,
13,05/23/2023 03:30:00,10.529,,,,
14,05/23/2023 03:45:00,10.561,,,,
15,05/23/2023 04:00:00,10.551,,,,
16,05/23/2023 04:15:00,10.540,,,,
17,05/23/2023 04:30:00,10.529,,,,
18,05/23/2023 04:45:00,10.508,,,,
19,05/23/2023 05:00:00,10.508,,,,
20,05/23/2023 05:15:00,10.519,,,,
21,05/23/2023 05:30:00,10.540,,,,
22,05/23/2023 05:45:00,10.551,,,,
23,05/23/2023 06:00:00,10.561,,,,
24,05/23/2023 06:15:00,10.561,,,,
25,05/23/2023 06:30:00,10.583,,,,
26,05/23/2023 06:45:00,10.615,,,,
27,05/23/2023 07:00:00,10.647,,,,
28,05/23/2023 07:15:00,10.647,,,,
29,05/23/2023 07:30:00,10.679,,,,
30,05/23/2023 07:45:00,10.701,,,,
31,05/23/2023 08:00:00,10.733,,,,
32,05/23/2023 08:15:00,10.851,,,,
33,05/23/2023 08:30:00,10.819,,,,
34,05/23/2023 08:45:00,10.840,,,,
35,05/23/2023 09:00:00,10.862,,,,
36,05/23/2023 09:15:00,10.905,,,,
37,05/23/2023 09:30:00,10.937,,,,
38,05/23/2023 09:45:00,10.958,,,,
39,05/23/2023 10:00:00,10.958,,,,
40,05/23/2023 10:15:00,10.948,,,,
41,05/23/2023 10:30:00,10.926,,,,
42,05/23/2023 10:45:00,11.033,,,,
43,05/23/2023 11:00:00,11.119,,,,
44,05/23/2023 11:15:00,11.141,,,,
45,05/23/2023 11:30:00,11.151,,,,
46,05/23/2023 11:45:00,11.205,,,,
47,05/23/2023 12:00:00,11.205,,,,
48,05/23/2023 12:15:00,11.119,,,,
49,05/23/2023 12:30:00,11.055,,,,
50,05/23/2023 12:45:00,11.033,,,,
51,05/23/2023 13:00:00,11.108,,,,
52,05/23/2023 13:15:00,11.087,,,,
53,05/23/2023 13:30:00,11.226,,,,
54,05/23/2023 13:45:00,11.108,,,,
55,05/23/2023 14:00:00,11.023,,,,
56,05/23/2023 14:15:00,11.023,,,,
57,05/23/2023 14:30:00,11.023,,,,
58,05/23/2023 14:45:00,11.033,,,,
59,05/23/2023 15:00:00,10.980,,,,
60,05/23/2023 15:15:00,10.765,,,,
61,05/23/2023 15:30:00,10.776,,,,
62,05/23/2023 15:45:00,10.594,,,,
63,05/23/2023 16:00:00,10.594,,,,
64,05/23/2023 16:15:00,10.497,,,,
65,05/23/2023 16:30:00,10.390,,,,
66,05/23/2023 16:45:00,10.325,,,,
67,05/23/2023 17:00:00,10.293,,,,
68,05/23/2023 17:15:00,10.218,,,,
69,05/23/2023 17:30:00,10.186,,,,
70,05/23/2023 17:45:00,10.175,,,,
71,05/23/2023 18:00:00,10.175,,,,
72,05/23/2023 18:15:00,10.165,,,,
73,05/23/2023 18:30:00,10.165,,,,
74,05/23/2023 18:45:00,10.132,,,,
75,05/23/2023 19:00:00,10.057,,,,
76,05/23/2023 19:15:00,10.025,,,,
77,05/23/2023 19:30:00,10.014,,,,
78,05/23/2023 19:45:00,9.982,,,,
79,05/23/2023 20:00:00,9.982,,,,
80,05/23/2023 20:15:00,9.982,,,,
