"Plot Title: 21742591"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 21742591, SEN S/N: 21742591)","High Range, μS/cm (LGR S/N: 21742591, SEN S/N: 21742591)","Temp, °F (LGR S/N: 21742591, SEN S/N: 21742591)","Specific Conductance, μS/cm (LGR S/N: 21742591)","Salinity, ppt (LGR S/N: 21742591)","Coupler Detached (LGR S/N: 21742591)","Coupler Attached (LGR S/N: 21742591)","Host Connected (LGR S/N: 21742591)","Stopped (LGR S/N: 21742591)","End Of File (LGR S/N: 21742591)"
1,05/23/23 01:00:00 AM,31699.0,34438.1,50.07,,,Logged,,,,
2,05/23/23 01:15:00 AM,31986.4,34409.7,50.13,,,,,,,
3,05/23/23 01:30:00 AM,31986.4,34443.3,50.13,,,,,,,
4,05/23/23 01:45:00 AM,31986.4,34443.3,50.16,,,,,,,
5,05/23/23 02:00:00 AM,32189.6,34443.3,50.13,,,,,,,
6,05/23/23 02:15:00 AM,31986.4,34448.5,50.13,,,,,,,
7,05/23/23 02:30:00 AM,31867.8,34453.6,50.13,,,,,,,
8,05/23/23 02:45:00 AM,31867.8,34412.3,50.11,,,,,,,
9,05/23/23 03:00:00 AM,32070.0,34412.3,50.13,,,,,,,
10,05/23/23 03:15:00 AM,32070.0,34412.3,50.13,,,,,,,
11,05/23/23 03:30:00 AM,31867.8,34412.3,50.11,,,,,,,
12,05/23/23 03:45:00 AM,32189.6,34412.3,50.13,,,,,,,
13,05/23/23 04:00:00 AM,32070.0,34417.4,50.11,,,,,,,
14,05/23/23 04:15:00 AM,32070.0,34373.6,50.07,,,,,,,
15,05/23/23 04:30:00 AM,32070.0,34378.7,50.07,,,,,,,
16,05/23/23 04:45:00 AM,32070.0,34340.1,50.04,,,,,,,
17,05/23/23 05:00:00 AM,32070.0,34340.1,50.00,,,,,,,
18,05/23/23 05:15:00 AM,31753.0,34340.1,50.00,,,,,,,
19,05/23/23 05:30:00 AM,31753.0,34334.9,49.98,,,,,,,
20,05/23/23 05:45:00 AM,32070.0,34329.8,49.93,,,,,,,
21,05/23/23 06:00:00 AM,31753.0,34288.6,49.91,,,,,,,
22,05/23/23 06:15:00 AM,31753.0,34293.8,49.86,,,,,,,
23,05/23/23 06:30:00 AM,31753.0,34293.8,49.86,,,,,,,
24,05/23/23 06:45:00 AM,31753.0,34293.8,49.89,,,,,,,
25,05/23/23 07:00:00 AM,32070.0,34293.8,49.86,,,,,,,
26,05/23/23 07:15:00 AM,31753.0,34293.8,49.89,,,,,,,
27,05/23/23 07:30:00 AM,31954.3,34394.2,50.00,,,,,,,
28,05/23/23 07:45:00 AM,31954.3,34309.2,50.00,,,,,,,
