"","site_code","SEmean","length"
"232","cps1724",0.643333333333333,6
"233","cps1725",0.33,1
"234","cps1726",0.83,1
"235","cps1727",0.84,1
"236","cps1728",1.43,1
"237","cps1729",0.93,1
"238","cps1730",1.37,1
"239","cps1731",0.88,1
"240","cps1732",0.34,1
"241","cps1733",1.53,1
"242","cps1734",0.44,1
"243","cps1735",0.38,1
"244","cps1736",0.66,1
"245","cps1737",0.82,1
"246","cps1738",0.54,1
"247","cps1739",0.873333333333333,6
"248","cps1740",0.96,1
"249","cps1741",1.19,1
"250","cps1742",0,1
"251","cps1743",0.17,1
"252","cps1744",0.48,1
"253","cps1745",1.3,1
"254","cps1746",0.58,1
"255","cps1747",0.17,1
"256","cps1748",0.3,1
"257","cps1749",0.48,1
"258","cps1750",0.486363636363636,8
"259","cps1751",0.67,1
"260","cps1752",1.02,1
"261","cps1753",0.33,1
"262","cps1754",0.934,5
"263","cps1755",0.87,1
"264","cps1756",0.47,1
"265","cps1757",0.92,1
"266","cps1758",0.69,1
"267","cps1759",0.14,1
"268","cps1760",0.48,1
"269","cps1763",0.45,1
"270","cps1764",0.674285714285714,5
"271","cps1770",0,3
"272","cps1777",0,7
"273","cps1797",0.05,2
"274","cps1804",0,4
"275","cps1815",0,2
"276","cps1820",0.0671428571428571,7
"277","cps1821",0.189230769230769,10
"278","cps1951",0,7
"279","cps1954",0,7
"280","cps1962",0,1
"281","cps1967",0.184285714285714,11
"282","cps1983",0,7
"283","cps1984",0.0633333333333333,3
"284","cps1986",0,2
"285","cps1999",0,7
"286","cps2003",0.496666666666667,3
"287","cps2022",0.273333333333333,4
"288","cps2028",0.26,1
"289","cps2029",0.32,1
"290","cps2030",0.83,1
"291","cps2031",0.72,1
"292","cps2033",3.38,1
"293","cps2034",0.89,1
"294","cps2035",1.16,1
"295","cps2036",0.28,1
"296","cps2037",0.28,1
"297","cps2038",0.395454545454545,9
"298","cps2040",0.205,2
"299","cps2047",0.0516666666666667,4
"300","cps2050",0.306,4
"301","cps2055",0.015,2
"302","cps2067",0,2
"303","cps2068",0.00615384615384615,7
"304","cps2070",0,5
"305","cps2076",0,1
"306","cps2077",0,1
"307","cps2078",0,1
"308","cps2079",0,1
"309","cps2080",0.2,1
"310","cps2081",0.38,1
"311","cps2082",0.39,1
"312","cps2083",0,1
"313","cps2084",0.23,1
"314","cps2085",0.33,1
"315","cps2086",0.33,1
"316","cps2087",0.3,1
"317","cps2088",0.35,1
"318","cps2089",0.7,1
"319","cps2090",0.32,1
"320","cps2091",0.54,1
"321","cps2092",0.51,1
"322","cps2093",0.66,1
"323","cps2094",0.77,1
"324","cps2095",0.62,1
"325","cps2096",0.93,1
"326","cps2097",0.52,1
"327","cps2098",0.36,1
"328","cps2099",0.17,1
"329","cps2100",0.96,1
"330","cps2101",0.92,1
"331","cps2102",0.25,2
"332","cps2103",0.55,1
"333","cps2104",0,1
"334","cps2105",0.208181818181818,7
"335","cps2106",0,1
"336","cps2107",0,1
"337","cps2108",0,1
"338","cps2109",0.18,1
"339","cps2110",0.53,1
"340","cps2111",0.32,1
"341","cps2112",1.02,1
"342","cps2113",1.37,1
"343","cps2114",0.28,1
"344","cps2115",0,1
"345","cps2116",0,1
"346","cps2117",0,1
"347","cps2118",0.14,1
"348","cps2119",0.33,1
"349","cps2120",0.34,2
"350","cps2121",0,1
"351","cps2122",0,1
"352","cps2123",0,1
"353","cps2124",0,1
"354","cps2125",0,1
"355","cps2145",0,2
"356","cps2154",0,4
"357","cps2157",0,3
"358","cps2158",0,1
"359","cps2159",0,1
"360","cps2160",0.21,1
"361","cps2161",0,1
"362","cps2162",0,1
"363","cps2163",0,1
"364","cps2164",0,1
"365","cps2165",0,1
"366","cps2166",0,1
"367","cps2167",0,1
"368","cps2168",0.2,1
"369","cps2169",0.275,2
"370","cps2170",0.29,1
"371","cps2171",0.32,2
"372","cps2172",0,1
"373","cps2173",0,1
"374","cps2174",0,1
"375","cps2175",0,1
"376","cps2176",0,1
"377","cps2179",0,1
"378","cps2180",0,1
"379","cps2181",0,1
"380","cps2182",0,7
"381","cps2183",0.1,1
"382","cps2184",0.515,2
"383","cps2185",0.07,1
"384","cps2186",0.58,1
"385","cps2187",1.7,2
"386","cps2188",1.39,1
"387","cps2189",0.26,1
"388","cps2190",0.53,1
"389","cps2191",0.34,1
"390","cps2192",0.77,2
"391","cps2193",1.34,1
"392","cps2194",0.835,2
"393","cps2195",0.82,1
"394","cps2196",0.87,1
"395","cps2197",0.94,1
"396","cps2198",0.07,1
"397","cps2199",0.53,1
"398","cps2200",0.84,1
"399","cps2201",0.695,8
"400","cps2202",0.45,1
"401","cps2203",1.205,2
"402","cps2204",0.46,1
"403","cps2205",0.85,1
"404","cps2206",3.315,2
"405","cps2207",1.02,1
"406","cps2208",0.764,3
"407","cps2209",0.46,1
"408","cps2210",0.38,1
"409","cps2211",0.295,2
"410","cps2212",0.25,1
"411","cps2213",0.435,2
"412","cps2214",0.74,1
"413","cps2215",0.735,4
"414","cps2216",0.76,1
"415","cps2217",0.86,1
"416","cps2218",0.440833333333333,8
"417","cps2219",0.97,1
"418","cps2220",0.725,2
"419","cps2221",0.58,9
"420","cps2222",0.57,1
"421","cps2223",0.486666666666667,7
"422","cps2224",0.47,1
"423","cps2225",0.7,1
"424","cps2226",0.77125,4
"425","cps2227",0.680909090909091,5
"426","cps2228",0.96,1
"427","cps2229",0.79,1
"428","cps2230",0.254166666666667,6
"429","cps2540",0.235,2
"430","cps2541",0.18,2
"431","cps2544",0.817142857142857,4
"432","cps2545",0.098,5
"433","cps2548",0.15,2
"434","cps2549",0.36,2
"435","cps2552",0.637272727272727,9
"436","cps2553",1.07,2
"437","cps2554",0.83,2
"438","cps2555",0.575,4
"439","cps2556",1.08,2
"440","cps2565",0.737222222222222,12
"441","cps2573",1.00555555555556,7
"442","cps2584",0.1625,4
"443","cps2886",0,2
"444","cps2887",0,2
"445","cps2889",0,1
"446","cps2890",0.41,1
"447","cps2891",0.35,1
"448","cps2892",0,1
"449","cps2906",0.411818181818182,9
"450","cps2907",0.98,1
"451","flats01",24.96,1
"452","flats03",11.0566666666667,7
"453","flats05",21.04,1
"454","flats08",6.33,7
"455","flats09",0.103333333333333,5
"456","flats10",0.0885714285714286,7
"457","flats11",49.2075,20
"458","flats12",40.475,17
"459","flats14",20.7,7
"460","flats15",17.352,8
"461","flats15aqr",13.32,1
"462","flats16",3.808,8
"463","flats17",0.406666666666667,7
"464","flats18",2.91,13
"465","flats19",17.5954545454545,8
"466","flats20",23.874,21
"467","flats21",21.04,2
"468","flats22",47.84,1
"469","flats23",19.44,1
"470","flats25",7.704,5
"471","flats26",33.26,8
"472","flats27",12.325,2
"473","flats28",12.5428571428571,7
"474","flats30",18.984,3
"475","flats32",5.255,2
"476","flats33",0.0714285714285714,5
"477","flats34",11.7,4
"478","flats35",4.633,15
"479","flats36",0,1
"480","flats37",3.73846153846154,9
